time(s),cellId,rnti,lcid,packetSize
1.01,6,5,3,1530
1.01,6,4,3,1530
1.01001,8,7,3,1530
1.01001,8,6,3,1530
1.01001,4,3,3,1530
1.01001,8,5,3,1530
1.01001,4,2,3,1530
1.01001,6,3,3,1530
1.01001,8,4,3,1530
1.01001,2,5,3,1530
1.01002,4,1,3,1530
1.01002,6,2,3,1530
1.01002,8,3,3,1530
1.01002,8,2,3,1530
1.01002,6,1,3,1530
1.01002,2,4,3,1530
1.01002,2,3,3,1530
1.01002,8,1,3,1530
1.01003,2,2,3,1530
1.01003,2,1,3,1530
1.01003,6,5,3,1530
1.01003,6,4,3,1530
1.01003,8,7,3,1530
1.01003,8,6,3,1530
1.01003,4,3,3,1530
1.01003,8,5,3,1530
1.01004,4,2,3,1530
1.01004,6,3,3,1530
1.01004,8,4,3,1530
1.01004,2,5,3,1530
1.01004,4,1,3,1530
1.01004,6,2,3,1530
1.01004,8,3,3,1530
1.01004,8,2,3,1530
1.01005,6,1,3,1530
1.01005,2,4,3,1530
1.01005,2,3,3,1530
1.01005,8,1,3,1530
1.01005,2,2,3,1530
1.01005,2,1,3,1530
1.01005,6,5,3,1530
1.01005,6,4,3,1530
1.01006,8,7,3,1530
1.01006,8,6,3,1530
1.01006,4,3,3,1530
1.01006,8,5,3,1530
1.01006,4,2,3,1530
1.01006,6,3,3,1530
1.01006,8,4,3,1530
1.01006,2,5,3,1530
1.01007,4,1,3,1530
1.01007,6,2,3,1530
1.01007,8,3,3,1530
1.01007,8,2,3,1530
1.01007,6,1,3,1530
1.01007,2,4,3,1530
1.01007,2,3,3,1530
1.01007,8,1,3,1530
1.01008,2,2,3,1530
1.01008,2,1,3,1530
1.01008,6,5,3,1530
1.01008,6,4,3,1530
1.01008,8,7,3,1530
1.01008,8,6,3,1530
1.01008,4,3,3,1530
1.01008,8,5,3,1530
1.01009,4,2,3,1530
1.01009,6,3,3,1530
1.01009,8,4,3,1530
1.01009,2,5,3,1530
1.01009,4,1,3,1530
1.01009,6,2,3,1530
1.01009,8,3,3,1530
1.01009,8,2,3,1530
1.0101,6,1,3,1530
1.0101,2,4,3,1530
1.0101,2,3,3,1530
1.0101,8,1,3,1530
1.0101,2,2,3,1530
1.0101,2,1,3,1530
1.0101,6,5,3,1530
1.0101,6,4,3,1530
1.01011,8,7,3,1530
1.01011,8,6,3,1530
1.01011,4,3,3,1530
1.01011,8,5,3,1530
1.01011,4,2,3,1530
1.01011,6,3,3,1530
1.01011,8,4,3,1530
1.01011,2,5,3,1530
1.01012,4,1,3,1530
1.01012,6,2,3,1530
1.01012,8,3,3,1530
1.01012,8,2,3,1530
1.01012,6,1,3,1530
1.01012,2,4,3,1530
1.01012,2,3,3,1530
1.01012,8,1,3,1530
1.01013,2,2,3,1530
1.01013,2,1,3,1530
1.01013,6,5,3,1530
1.01013,6,4,3,1530
1.01013,8,7,3,1530
1.01013,8,6,3,1530
1.01013,4,3,3,1530
1.01013,8,5,3,1530
1.01014,4,2,3,1530
1.01014,6,3,3,1530
1.01014,8,4,3,1530
1.01014,2,5,3,1530
1.01014,4,1,3,1530
1.01014,6,2,3,1530
1.01014,8,3,3,1530
1.01014,8,2,3,1530
1.01015,6,1,3,1530
1.01015,2,4,3,1530
1.01015,2,3,3,1530
1.01015,8,1,3,1530
1.01015,2,2,3,1530
1.01015,2,1,3,1530
1.01015,6,5,3,1530
1.01015,6,4,3,1530
1.01016,8,7,3,1530
1.01016,8,6,3,1530
1.01016,4,3,3,1530
1.01016,8,5,3,1530
1.01016,4,2,3,1530
1.01016,6,3,3,1530
1.01016,8,4,3,1530
1.01016,2,5,3,1530
1.01017,4,1,3,1530
1.01017,6,2,3,1530
1.01017,8,3,3,1530
1.01017,8,2,3,1530
1.01017,6,1,3,1530
1.01017,2,4,3,1530
1.01017,2,3,3,1530
1.01017,8,1,3,1530
1.01018,2,2,3,1530
1.01018,2,1,3,1530
1.01018,6,5,3,1530
1.01018,6,4,3,1530
1.01018,8,7,3,1530
1.01018,8,6,3,1530
1.01018,4,3,3,1530
1.01018,8,5,3,1530
1.01019,4,2,3,1530
1.01019,6,3,3,1530
1.01019,8,4,3,1530
1.01019,2,5,3,1530
1.01019,4,1,3,1530
1.01019,6,2,3,1530
1.01019,8,3,3,1530
1.01019,8,2,3,1530
1.0102,6,1,3,1530
1.0102,2,4,3,1530
1.0102,2,3,3,1530
1.0102,8,1,3,1530
1.0102,2,2,3,1530
1.0102,2,1,3,1530
1.0102,6,5,3,1530
1.0102,6,4,3,1530
1.01021,8,7,3,1530
1.01021,8,6,3,1530
1.01021,4,3,3,1530
1.01021,8,5,3,1530
1.01021,4,2,3,1530
1.01021,6,3,3,1530
1.01021,8,4,3,1530
1.01021,2,5,3,1530
1.01022,4,1,3,1530
1.01022,6,2,3,1530
1.01022,8,3,3,1530
1.01022,8,2,3,1530
1.01022,6,1,3,1530
1.01022,2,4,3,1530
1.01022,2,3,3,1530
1.01022,8,1,3,1530
1.01023,2,2,3,1530
1.01023,2,1,3,1530
1.01023,6,5,3,1530
1.01023,6,4,3,1530
1.01023,8,7,3,1530
1.01023,8,6,3,1530
1.01023,4,3,3,1530
1.01023,8,5,3,1530
1.01024,4,2,3,1530
1.01024,6,3,3,1530
1.01024,8,4,3,1530
1.01024,2,5,3,1530
1.01024,4,1,3,1530
1.01024,6,2,3,1530
1.01024,8,3,3,1530
1.01025,8,2,3,1530
1.01025,6,1,3,1530
1.01025,2,4,3,1530
1.01025,2,3,3,1530
1.01025,8,1,3,1530
1.01025,2,2,3,1530
1.01025,2,1,3,1530
1.01025,6,5,3,1530
1.01026,6,4,3,1530
1.01026,8,7,3,1530
1.01026,8,6,3,1530
1.01026,4,3,3,1530
1.01026,8,5,3,1530
1.01026,4,2,3,1530
1.01026,6,3,3,1530
1.01026,8,4,3,1530
1.01027,2,5,3,1530
1.01027,4,1,3,1530
1.01027,6,2,3,1530
1.01027,8,3,3,1530
1.01027,8,2,3,1530
1.01027,6,1,3,1530
1.01027,2,4,3,1530
1.01027,2,3,3,1530
1.01028,8,1,3,1530
1.01028,2,2,3,1530
1.01028,2,1,3,1530
1.01028,6,5,3,1530
1.01028,6,4,3,1530
1.01028,8,7,3,1530
1.01028,8,6,3,1530
1.01028,4,3,3,1530
1.01029,8,5,3,1530
1.01029,4,2,3,1530
1.01029,6,3,3,1530
1.01029,8,4,3,1530
1.01029,2,5,3,1530
1.01029,4,1,3,1530
1.01029,6,2,3,1530
1.01029,8,3,3,1530
1.0103,8,2,3,1530
1.0103,6,1,3,1530
1.0103,2,4,3,1530
1.0103,2,3,3,1530
1.0103,8,1,3,1530
1.0103,2,2,3,1530
1.0103,2,1,3,1530
1.0103,6,5,3,1530
1.01031,6,4,3,1530
1.01031,8,7,3,1530
1.01031,8,6,3,1530
1.01031,4,3,3,1530
1.01031,8,5,3,1530
1.01031,4,2,3,1530
1.01031,6,3,3,1530
1.01031,8,4,3,1530
1.01032,2,5,3,1530
1.01032,4,1,3,1530
1.01032,6,2,3,1530
1.01032,8,3,3,1530
1.01032,8,2,3,1530
1.01032,6,1,3,1530
1.01032,2,4,3,1530
1.01032,2,3,3,1530
1.01033,8,1,3,1530
1.01033,2,2,3,1530
1.01033,2,1,3,1530
1.01033,6,5,3,1530
1.01033,6,4,3,1530
1.01033,8,7,3,1530
1.01033,8,6,3,1530
1.01033,4,3,3,1530
1.01034,8,5,3,1530
1.01034,4,2,3,1530
1.01034,6,3,3,1530
1.01034,8,4,3,1530
1.01034,2,5,3,1530
1.01034,4,1,3,1530
1.01034,6,2,3,1530
1.01034,8,3,3,1530
1.01035,8,2,3,1530
1.01035,6,1,3,1530
1.01035,2,4,3,1530
1.01035,2,3,3,1530
1.01035,8,1,3,1530
1.01035,2,2,3,1530
1.01035,2,1,3,1530
1.01035,6,5,3,1530
1.01036,6,4,3,1530
1.01036,8,7,3,1530
1.01036,8,6,3,1530
1.01036,4,3,3,1530
1.01036,8,5,3,1530
1.01036,4,2,3,1530
1.01036,6,3,3,1530
1.01036,8,4,3,1530
1.01037,2,5,3,1530
1.01037,4,1,3,1530
1.01037,6,2,3,1530
1.01037,8,3,3,1530
1.01037,8,2,3,1530
1.01037,6,1,3,1530
1.01037,2,4,3,1530
1.01037,2,3,3,1530
1.01038,8,1,3,1530
1.01038,2,2,3,1530
1.01038,2,1,3,1530
1.01038,6,5,3,1530
1.01038,6,4,3,1530
1.01038,8,7,3,1530
1.01038,8,6,3,1530
1.01038,4,3,3,1530
1.01039,8,5,3,1530
1.01039,4,2,3,1530
