%,start(s),end(s),CellId,IMSI,RNTI,LCID,nTxPDUs,TxBytes,nRxPDUs,RxBytes,delay(s),stdDev(s),min(s),max(s),PduSize,stdDev,min,max
0,0.25,6,1,5,3,117,1531764,117,1531764,0.00356214,0.00227658,0.00224286,0.00802856,13092,6330.61,697,37229,
0,0.25,6,2,4,3,71,1531650,71,1531650,0.00259496,1.84055e-05,0.00252857,0.0026,21572.5,6723.82,697,24176,
0,0.25,8,3,7,3,159,1531853,159,1531853,0.00428104,0.00283726,0.00224286,0.0130286,9634.3,12060.1,228,57815,
0,0.25,8,4,6,3,125,1531782,125,1531782,0.002396,0.000129153,0.00231428,0.0026,12254.3,7680.71,228,24176,
0,0.25,4,5,3,3,54,1531630,54,1531630,0.00245317,1.6515e-05,0.00238571,0.00245714,28363.5,9941.36,697,32234,
0,0.25,8,6,5,3,127,1531782,127,1531782,0.00453194,0.00278963,0.00238571,0.0130286,12061.3,7251.14,463,29784,
0,0.25,4,7,2,3,73,1468871,73,1468871,0.00380156,0.00216527,0.00252857,0.00802856,20121.5,6943.01,932,34163,
0,0.25,6,8,3,3,193,1334370,193,1334370,0.00365736,0.00190118,0.0026,0.00902856,6913.83,7674.75,463,25929,
0,0.25,8,9,4,3,139,1335790,139,1335790,0.00416063,0.0023417,0.00252857,0.00802856,9610,4894.6,463,28907,
0,0.25,2,10,5,3,65,1338675,65,1338675,0.00446813,0.00274298,0.00238571,0.00802856,20595,6548.47,697,24176,
0,0.25,4,11,1,3,83,1338715,83,1338715,0.00489087,0.00278441,0.00295714,0.0130286,16129.1,13740.9,932,68327,
0,0.25,6,12,2,3,104,1338759,104,1338759,0.00526483,0.002875,0.00281428,0.0130286,12872.7,6756.63,463,26278,
0,0.25,8,13,3,3,89,1338730,89,1338730,0.00273563,2.1657e-05,0.00267142,0.00274285,15041.9,3945.6,463,16115,
0,0.25,8,14,2,3,89,1335667,89,1335667,0.00287848,2.1657e-05,0.00281428,0.00288571,15007.5,3963.5,463,16115,
0,0.25,6,15,1,3,101,1334164,101,1334164,0.00463535,0.00238628,0.00295714,0.00902856,13209.5,5222.89,463,22335,
0,0.25,2,16,4,3,70,1332565,70,1332565,0.00436734,0.00257811,0.00224286,0.00802856,19036.6,6400.44,463,24176,
0,0.25,2,17,3,3,79,1334114,79,1334114,0.00269222,0.000106776,0.00224286,0.00274285,16887.5,7189.01,463,32234,
0,0.25,8,18,1,3,89,1334135,89,1334135,0.00302134,2.1657e-05,0.00295714,0.00302856,14990.3,3982.37,463,16115,
0,0.25,2,19,2,3,78,1334111,78,1334111,0.00286098,4.86045e-05,0.00274285,0.00288571,17104,7052.01,463,32234,
0,0.25,2,20,1,3,78,1335643,78,1335643,0.00302398,1.76085e-05,0.00295714,0.00302856,17123.6,7079.11,463,32234,
