Time,direction,frame,subF,slot,1stSym,nSymbol,cellId,bwpId,rnti,tbSize,mcs,rank,rv,SINR(dB),CQI,corrupt,TBler
1.01314,DL,101,3,0,1,1,7,0,7,7,231,0,1,0,5.98178,0,0
1.01321,DL,101,3,0,2,1,7,0,6,6,231,0,1,0,64.7139,0,0
1.01329,DL,101,3,0,1,3,1,0,5,5,700,0,1,0,24.1568,0,0
1.01329,DL,101,3,0,1,3,3,0,3,3,700,0,1,0,38.998,0,0
1.01329,DL,101,3,0,1,3,5,0,5,5,700,0,1,0,12.6597,0,0
1.01336,DL,101,3,0,3,2,7,0,5,5,466,0,1,0,10.6323,0,0
1.01343,DL,101,3,0,4,2,1,0,4,4,466,0,1,0,22.1951,0,0
1.0135,DL,101,3,0,4,3,5,0,4,4,700,0,1,0,68.2466,0,0
1.0135,DL,101,3,0,5,2,7,0,4,4,466,0,1,0,12.2154,0,0
1.01357,DL,101,3,0,4,4,3,0,2,2,935,0,1,0,16.1698,0,0
1.01357,DL,101,3,0,6,2,1,0,3,3,466,0,1,0,30.9238,0,0
1.01364,DL,101,3,0,7,2,5,0,3,3,466,0,1,0,-0.45825,0,0
1.01364,DL,101,3,0,7,2,7,0,3,3,466,0,1,0,52.6562,0,0
1.01371,DL,101,3,0,8,2,1,0,2,2,466,0,1,0,38.6196,0,0
1.01379,DL,101,3,0,9,2,5,0,2,2,466,0,1,0,15.0283,0,0
1.01379,DL,101,3,0,9,2,7,0,2,2,466,0,1,0,59.5671,0,0
1.01386,DL,101,3,0,8,4,3,0,1,1,935,0,1,0,10.5955,0,0
1.01386,DL,101,3,0,10,2,1,0,1,1,466,0,1,0,29.1843,0,0
1.01393,DL,101,3,0,11,2,5,0,1,1,466,0,1,0,17.4523,0,0
1.01393,DL,101,3,0,11,2,7,0,1,1,466,0,1,0,56.9803,0,0
1.01414,DL,101,4,0,1,1,7,0,7,7,231,0,1,0,5.99308,0,0
1.01421,DL,101,4,0,2,1,7,0,6,6,231,0,1,0,64.6725,0,0
1.01429,DL,101,4,0,1,3,1,0,5,5,700,0,1,0,24.111,0,0
1.01429,DL,101,4,0,1,3,5,0,5,5,700,0,1,0,12.7382,0,0
1.01436,DL,101,4,0,1,4,3,0,3,3,935,0,1,0,38.3924,0,0
1.01436,DL,101,4,0,3,2,7,0,5,5,466,0,1,0,11.0433,0,0
1.0145,DL,101,4,0,4,3,1,0,4,4,700,0,1,0,20.7695,0,0
1.0145,DL,101,4,0,4,3,5,0,4,4,700,0,1,0,68.3149,0,0
1.0145,DL,101,4,0,5,2,7,0,4,4,466,0,1,0,12.9732,0,0
1.01464,DL,101,4,0,5,4,3,0,2,2,935,0,1,0,16.215,0,0
1.01464,DL,101,4,0,7,2,1,0,3,3,466,0,1,0,31.1471,0,0
1.01464,DL,101,4,0,7,2,5,0,3,3,466,0,1,0,-1.99776,0,0
1.01464,DL,101,4,0,7,2,7,0,3,3,466,0,1,0,52.8075,0,0
1.01479,DL,101,4,0,9,2,1,0,2,2,466,0,1,0,38.9023,0,0
1.01479,DL,101,4,0,9,2,5,0,2,2,466,0,1,0,14.9886,0,0
1.01479,DL,101,4,0,9,2,7,0,2,2,466,0,1,0,59.5799,0,0
1.01493,DL,101,4,0,9,4,3,0,1,1,935,0,1,0,10.834,0,0
1.01493,DL,101,4,0,11,2,1,0,1,1,466,0,1,0,29.1675,0,0
1.01493,DL,101,4,0,11,2,5,0,1,1,466,0,1,0,17.0124,0,0
1.01493,DL,101,4,0,11,2,7,0,1,1,466,0,1,0,52.9115,0,0
1.01514,DL,101,5,0,1,1,7,0,7,7,231,0,1,0,6.05203,0,0
1.01521,DL,101,5,0,2,1,7,0,6,6,231,0,1,0,64.7137,0,0
1.01529,DL,101,5,0,1,3,1,0,5,5,700,0,1,0,24.1054,0,0
1.01529,DL,101,5,0,1,3,5,0,5,5,700,0,1,0,12.8402,0,0
1.01536,DL,101,5,0,1,4,3,0,3,3,935,0,1,0,39.0458,0,0
1.01536,DL,101,5,0,3,2,7,0,5,5,466,0,1,0,11.0748,0,0
1.0155,DL,101,5,0,4,3,1,0,4,4,700,0,1,0,20.787,0,0
1.0155,DL,101,5,0,4,3,5,0,4,4,700,0,1,0,68.3594,0,0
1.0155,DL,101,5,0,5,2,7,0,4,4,466,0,1,0,13.0156,0,0
1.01564,DL,101,5,0,5,4,3,0,2,2,935,0,1,0,16.2892,0,0
1.01564,DL,101,5,0,7,2,1,0,3,3,466,0,1,0,31.1286,0,0
1.01564,DL,101,5,0,7,2,5,0,3,3,466,0,1,0,-1.99729,0,0
1.01564,DL,101,5,0,7,2,7,0,3,3,466,0,1,0,52.8703,0,0
1.01579,DL,101,5,0,9,2,1,0,2,2,466,0,1,0,38.7722,0,0
1.01579,DL,101,5,0,9,2,5,0,2,2,466,0,1,0,14.8751,0,0
1.01579,DL,101,5,0,9,2,7,0,2,2,466,0,1,0,59.542,0,0
1.01593,DL,101,5,0,9,4,3,0,1,1,935,0,1,0,10.6236,0,0
1.01593,DL,101,5,0,11,2,1,0,1,1,466,0,1,0,29.2294,0,0
1.01593,DL,101,5,0,11,2,5,0,1,1,466,0,1,0,16.9977,0,0
1.01593,DL,101,5,0,11,2,7,0,1,1,466,0,1,0,52.937,0,0
1.01614,DL,101,6,0,1,1,7,0,7,7,231,0,1,0,6.04923,0,0
1.01621,DL,101,6,0,2,1,7,0,6,6,231,0,1,0,64.7148,0,0
1.01629,DL,101,6,0,1,3,1,0,5,5,700,0,1,0,24.1089,0,0
1.01629,DL,101,6,0,1,3,5,0,5,5,700,0,1,0,12.8652,0,0
1.01636,DL,101,6,0,1,4,3,0,3,3,935,0,1,0,40.5281,0,0
1.01636,DL,101,6,0,3,2,7,0,5,5,466,0,1,0,11.1191,0,0
1.0165,DL,101,6,0,4,3,1,0,4,4,700,0,1,0,20.8198,0,0
1.0165,DL,101,6,0,4,3,5,0,4,4,700,0,1,0,68.3725,0,0
1.0165,DL,101,6,0,5,2,7,0,4,4,466,0,1,0,12.9406,0,0
1.01664,DL,101,6,0,5,4,3,0,2,2,935,0,1,0,16.3342,0,0
1.01664,DL,101,6,0,7,2,1,0,3,3,466,0,1,0,31.174,0,0
1.01664,DL,101,6,0,7,2,5,0,3,3,466,0,1,0,-2.14137,0,0
1.01664,DL,101,6,0,7,2,7,0,3,3,466,0,1,0,52.7982,0,0
1.01679,DL,101,6,0,9,2,1,0,2,2,466,0,1,0,38.7752,0,0
1.01679,DL,101,6,0,9,2,5,0,2,2,466,0,1,0,14.8527,0,0
1.01679,DL,101,6,0,9,2,7,0,2,2,466,0,1,0,59.5602,0,0
1.01693,DL,101,6,0,9,4,3,0,1,1,935,0,1,0,10.4663,0,0
1.01693,DL,101,6,0,11,2,1,0,1,1,466,0,1,0,29.1662,0,0
1.01693,DL,101,6,0,11,2,5,0,1,1,466,0,1,0,17.0441,0,0
1.01693,DL,101,6,0,11,2,7,0,1,1,466,0,1,0,52.9165,0,0
1.01714,DL,101,7,0,1,1,7,0,7,7,231,0,1,0,6.08716,0,0
1.01721,DL,101,7,0,2,1,7,0,6,6,231,0,1,0,64.7693,0,0
1.01729,DL,101,7,0,1,3,1,0,5,5,700,0,1,0,24.1855,0,0
1.01729,DL,101,7,0,1,3,5,0,5,5,700,0,1,0,12.8346,0,0
1.01736,DL,101,7,0,1,4,3,0,3,3,935,0,1,0,40.228,0,0
1.01736,DL,101,7,0,3,2,7,0,5,5,466,0,1,0,11.0266,0,0
1.0175,DL,101,7,0,4,3,1,0,4,4,700,0,1,0,20.7117,0,0
1.0175,DL,101,7,0,4,3,5,0,4,4,700,0,1,0,68.4249,0,0
1.0175,DL,101,7,0,5,2,7,0,4,4,466,0,1,0,12.9892,0,0
1.01764,DL,101,7,0,5,4,3,0,2,2,935,0,1,0,16.3927,0,0
1.01764,DL,101,7,0,7,2,1,0,3,3,466,0,1,0,31.1714,0,0
1.01764,DL,101,7,0,7,2,5,0,3,3,466,0,1,0,-2.09543,0,0
1.01764,DL,101,7,0,7,2,7,0,3,3,466,0,1,0,52.7776,0,0
1.01779,DL,101,7,0,9,2,1,0,2,2,466,0,1,0,38.7151,0,0
1.01779,DL,101,7,0,9,2,5,0,2,2,466,0,1,0,14.741,0,0
1.01779,DL,101,7,0,9,2,7,0,2,2,466,0,1,0,59.4774,0,0
1.01793,DL,101,7,0,9,4,3,0,1,1,935,0,1,0,10.4297,0,0
1.01793,DL,101,7,0,11,2,1,0,1,1,466,0,1,0,29.105,0,0
1.01793,DL,101,7,0,11,2,5,0,1,1,466,0,1,0,17.1306,0,0
1.01793,DL,101,7,0,11,2,7,0,1,1,466,0,1,0,52.854,0,0
1.01814,DL,101,8,0,1,1,7,0,7,7,231,0,1,0,6.07029,0,0
1.01821,DL,101,8,0,2,1,7,0,6,6,231,0,1,0,64.7077,0,0
1.01829,DL,101,8,0,1,3,1,0,5,5,700,0,1,0,24.191,0,0
1.01829,DL,101,8,0,1,3,5,0,5,5,700,0,1,0,12.8522,0,0
1.01836,DL,101,8,0,1,4,3,0,3,3,935,0,1,0,39.2098,0,0
1.01836,DL,101,8,0,3,2,7,0,5,5,466,0,1,0,10.9988,0,0
1.0185,DL,101,8,0,4,3,1,0,4,4,700,0,1,0,20.6414,0,0
1.0185,DL,101,8,0,4,3,5,0,4,4,700,0,1,0,68.3796,0,0
1.0185,DL,101,8,0,5,2,7,0,4,4,466,0,1,0,12.9677,0,0
1.01864,DL,101,8,0,5,4,3,0,2,2,935,0,1,0,16.3253,0,0
1.01864,DL,101,8,0,7,2,1,0,3,3,466,0,1,0,31.1479,0,0
1.01864,DL,101,8,0,7,2,5,0,3,3,466,0,1,0,-2.01185,0,0
1.01864,DL,101,8,0,7,2,7,0,3,3,466,0,1,0,52.7273,0,0
1.01879,DL,101,8,0,9,2,1,0,2,2,466,0,1,0,38.6463,0,0
1.01879,DL,101,8,0,9,2,5,0,2,2,466,0,1,0,14.7481,0,0
1.01879,DL,101,8,0,9,2,7,0,2,2,466,0,1,0,59.4672,0,0
1.01893,DL,101,8,0,9,4,3,0,1,1,935,0,1,0,10.4672,0,0
1.01893,DL,101,8,0,11,2,1,0,1,1,466,0,1,0,29.16,0,0
1.01893,DL,101,8,0,11,2,5,0,1,1,466,0,1,0,17.2003,0,0
1.01893,DL,101,8,0,11,2,7,0,1,1,466,0,1,0,52.9141,0,0
1.01914,DL,101,9,0,1,1,7,0,7,7,1752,10,1,0,6.1468,0,1.96088e-08
1.01921,DL,101,9,0,2,1,7,0,6,6,8060,28,1,0,64.6824,0,0
1.01929,DL,101,9,0,1,3,1,0,5,5,22338,26,1,0,24.2094,0,0.00680363
1.01929,DL,101,9,0,1,3,5,0,5,5,10514,16,1,0,12.8923,0,0
1.01936,DL,101,9,0,1,4,3,0,3,3,32237,28,1,0,39.5466,0,0
1.01936,DL,101,9,0,3,2,7,0,5,5,5607,14,1,0,10.9485,0,0
1.0195,DL,101,9,0,4,3,1,0,4,4,22338,26,1,0,20.5554,1,1
1.0195,DL,101,9,0,4,3,5,0,4,4,24179,28,1,0,68.3492,0,0
1.0195,DL,101,9,0,5,2,7,0,4,4,7008,16,1,0,12.9535,0,0
1.01964,DL,101,9,0,5,4,3,0,2,2,19272,20,1,0,16.2833,0,0
1.01964,DL,101,9,0,7,2,1,0,3,3,16118,28,1,0,31.1793,0,3.24607e-12
1.01964,DL,101,9,0,7,2,5,0,3,3,1110,4,1,0,-1.98345,0,0.129244
1.01964,DL,101,9,0,7,2,7,0,3,3,16118,28,1,0,52.7703,0,0
1.01979,DL,101,9,0,9,2,1,0,2,2,16118,28,1,0,38.696,0,0
1.01979,DL,101,9,0,9,2,5,0,2,2,9637,20,1,0,14.7654,0,7.87487e-05
1.01979,DL,101,9,0,9,2,7,0,2,2,16118,28,1,0,59.4669,0,0
1.01993,DL,101,9,0,9,4,3,0,1,1,8644,12,1,0,10.4995,0,5.32907e-15
1.01993,DL,101,9,0,11,2,1,0,1,1,16118,28,1,0,29.1325,0,0.0521527
1.01993,DL,101,9,0,11,2,5,0,1,1,9637,20,1,0,17.1696,0,0
1.01993,DL,101,9,0,11,2,7,0,1,1,16118,28,1,0,52.9196,0,0
1.02014,DL,102,0,0,1,1,7,0,7,7,1752,10,1,0,6.16666,0,6.02959e-09
1.02021,DL,102,0,0,2,1,7,0,6,6,8060,28,1,0,64.6696,0,0
1.02029,DL,102,0,0,1,3,1,0,5,5,22338,26,1,0,24.2572,0,0.00350616
1.02029,DL,102,0,0,1,3,5,0,5,5,10514,16,1,0,12.8888,0,0
1.02036,DL,102,0,0,1,4,3,0,3,3,32237,28,1,0,41.0226,0,0
1.02036,DL,102,0,0,3,2,7,0,5,5,5607,14,1,0,10.9647,0,0
1.0205,DL,102,0,0,4,3,1,0,4,4,19712,24,1,0,20.4455,0,1.46549e-14
1.0205,DL,102,0,0,4,3,5,0,4,4,24179,28,1,0,68.3647,0,0
1.0205,DL,102,0,0,5,2,7,0,4,4,7885,18,1,0,12.9169,0,3.11312e-08
1.02064,DL,102,0,0,5,4,3,0,2,2,19272,20,1,0,16.2404,0,0
1.02064,DL,102,0,0,7,2,1,0,3,3,16118,28,1,0,31.2616,0,2.6037e-12
1.02064,DL,102,0,0,7,2,5,0,3,3,1110,4,1,0,-2.03125,0,0.292192
1.02064,DL,102,0,0,7,2,7,0,3,3,16118,28,1,0,52.8061,0,0
1.02079,DL,102,0,0,9,2,1,0,2,2,16118,28,1,0,38.7,0,0
1.02079,DL,102,0,0,9,2,5,0,2,2,9637,20,1,0,14.8266,0,1.66321e-05
1.02079,DL,102,0,0,9,2,7,0,2,2,16118,28,1,0,59.4517,0,0
1.02093,DL,102,0,0,9,4,3,0,1,1,8644,12,1,0,10.5209,0,3.9968e-15
1.02093,DL,102,0,0,11,2,1,0,1,1,16118,28,1,0,29.1254,0,0.040519
1.02093,DL,102,0,0,11,2,5,0,1,1,9637,20,1,0,17.1783,0,0
1.02093,DL,102,0,0,11,2,7,0,1,1,16118,28,1,0,52.8072,0,0
1.02114,DL,102,1,0,1,1,7,0,7,7,1752,10,1,0,6.17476,0,1.77383e-09
1.02121,DL,102,1,0,2,1,7,0,6,6,8060,28,1,0,64.6762,0,0
1.02129,DL,102,1,0,1,3,1,0,5,5,22338,26,1,0,24.3181,0,0.00143884
1.02129,DL,102,1,0,1,3,5,0,5,5,10514,16,1,0,12.927,0,0
1.02129,DL,102,1,0,3,1,7,0,5,5,3505,16,1,0,9.0489,1,1
1.02136,DL,102,1,0,1,4,3,0,3,3,32237,28,1,0,41.5073,0,0
1.02143,DL,102,1,0,4,2,1,0,4,4,13140,24,1,0,19.7923,0,8.31027e-08
1.02143,DL,102,1,0,4,2,7,0,4,4,7885,18,1,0,13.3793,0,5.73985e-13
1.0215,DL,102,1,0,4,3,5,0,4,4,24179,28,1,0,68.4475,0,0
1.02157,DL,102,1,0,6,2,1,0,3,3,16118,28,1,0,31.4766,0,1.64135e-12
1.02157,DL,102,1,0,6,2,7,0,3,3,16118,28,1,0,52.8074,0,0
1.02164,DL,102,1,0,5,4,3,0,2,2,19272,20,1,0,17.3314,0,0
1.02164,DL,102,1,0,7,2,5,0,3,3,1110,4,1,0,-0.820106,0,0
1.02171,DL,102,1,0,8,2,1,0,2,2,16118,28,1,0,38.6527,0,0
1.02171,DL,102,1,0,8,2,7,0,2,2,16118,28,1,0,59.8392,0,0
1.02179,DL,102,1,0,9,2,5,0,2,2,9637,20,1,0,13.9806,1,0.957703
1.02186,DL,102,1,0,10,2,1,0,1,1,16118,28,1,0,28.9723,0,0.0427783
1.02186,DL,102,1,0,10,2,7,0,1,1,16118,28,1,0,51.8011,0,0
1.02193,DL,102,1,0,9,4,3,0,1,1,8644,12,1,0,10.8488,0,5.32907e-15
1.02193,DL,102,1,0,11,2,5,0,1,1,9637,20,1,0,21.3941,0,0
1.02214,DL,102,2,0,1,1,7,0,7,7,1752,10,1,0,6.09892,0,3.23773e-08
1.02221,DL,102,2,0,2,1,7,0,6,6,8060,28,1,0,64.6754,0,0
1.02229,DL,102,2,0,1,3,1,0,5,5,22338,26,1,0,24.3683,0,0.000593986
1.02229,DL,102,2,0,1,3,5,0,5,5,10514,16,1,0,12.9444,0,0
1.02236,DL,102,2,0,1,4,3,0,3,3,32237,28,1,0,41.5327,0,0
1.02236,DL,102,2,0,3,2,7,0,5,5,7008,16,1,0,10.8747,0,0.710796
1.0225,DL,102,2,0,4,3,1,0,4,4,19712,24,1,0,20.4414,0,4.88498e-15
1.0225,DL,102,2,0,4,3,5,0,4,4,24179,28,1,0,68.2386,0,0
1.0225,DL,102,2,0,5,2,7,0,4,4,7885,18,1,0,12.8225,0,5.97541e-07
1.02264,DL,102,2,0,5,4,3,0,2,2,19272,20,1,0,16.2425,0,0
