Time,Entity,Frame,SF,Slot,VarTTI,nodeId,RNTI,bwpId,MsgType
0.018,ENB,MAC,Rxed,1,7,0,6,8,0
0.018,ENB,MAC,Rxed,1,7,0,6,9,0
0.018,ENB,MAC,Rxed,1,7,0,6,10,0
0.018,ENB,MAC,Rxed,1,7,0,6,11,0
0.018,ENB,MAC,Rxed,1,7,0,6,12,0
0.018,ENB,MAC,Rxed,1,7,0,8,13,0
0.018,ENB,MAC,Rxed,1,7,0,8,14,0
0.018,ENB,MAC,Rxed,1,7,0,8,15,0
0.018,ENB,MAC,Rxed,1,7,0,8,16,0
0.018,ENB,MAC,Rxed,1,7,0,8,17,0
0.018,ENB,MAC,Rxed,1,7,0,8,18,0
0.018,ENB,MAC,Rxed,1,7,0,8,19,0
0.018,ENB,MAC,Rxed,1,7,0,4,5,0
0.018,ENB,MAC,Rxed,1,7,0,4,6,0
0.018,ENB,MAC,Rxed,1,7,0,4,7,0
0.018,ENB,MAC,Rxed,1,7,0,2,0,0
0.018,ENB,MAC,Rxed,1,7,0,2,1,0
0.018,ENB,MAC,Rxed,1,7,0,2,2,0
0.018,ENB,MAC,Rxed,1,7,0,2,3,0
0.018,ENB,MAC,Rxed,1,7,0,2,4,0
1.016,ENB,MAC,Rxed,101,6,0,2,5,0
1.016,ENB,MAC,Rxed,101,6,0,2,4,0
1.016,ENB,MAC,Rxed,101,6,0,2,3,0
1.016,ENB,MAC,Rxed,101,6,0,2,2,0
1.016,ENB,MAC,Rxed,101,6,0,2,1,0
1.016,ENB,MAC,Rxed,101,6,0,4,3,0
1.016,ENB,MAC,Rxed,101,6,0,4,2,0
1.016,ENB,MAC,Rxed,101,6,0,4,1,0
1.016,ENB,MAC,Rxed,101,6,0,6,5,0
1.016,ENB,MAC,Rxed,101,6,0,6,4,0
1.016,ENB,MAC,Rxed,101,6,0,6,3,0
1.016,ENB,MAC,Rxed,101,6,0,6,2,0
1.016,ENB,MAC,Rxed,101,6,0,6,1,0
1.016,ENB,MAC,Rxed,101,6,0,8,7,0
1.016,ENB,MAC,Rxed,101,6,0,8,6,0
1.016,ENB,MAC,Rxed,101,6,0,8,5,0
1.016,ENB,MAC,Rxed,101,6,0,8,4,0
1.016,ENB,MAC,Rxed,101,6,0,8,3,0
1.016,ENB,MAC,Rxed,101,6,0,8,2,0
1.016,ENB,MAC,Rxed,101,6,0,8,1,0
1.017,ENB,MAC,Rxed,101,7,0,2,5,0
1.017,ENB,MAC,Rxed,101,7,0,2,4,0
1.017,ENB,MAC,Rxed,101,7,0,2,3,0
1.017,ENB,MAC,Rxed,101,7,0,2,2,0
1.017,ENB,MAC,Rxed,101,7,0,2,1,0
1.017,ENB,MAC,Rxed,101,7,0,2,5,0
1.017,ENB,MAC,Rxed,101,7,0,2,4,0
1.017,ENB,MAC,Rxed,101,7,0,2,3,0
1.017,ENB,MAC,Rxed,101,7,0,2,2,0
1.017,ENB,MAC,Rxed,101,7,0,2,1,0
1.017,ENB,MAC,Rxed,101,7,0,4,3,0
1.017,ENB,MAC,Rxed,101,7,0,4,2,0
1.017,ENB,MAC,Rxed,101,7,0,4,1,0
1.017,ENB,MAC,Rxed,101,7,0,4,3,0
1.017,ENB,MAC,Rxed,101,7,0,4,2,0
1.017,ENB,MAC,Rxed,101,7,0,4,1,0
1.017,ENB,MAC,Rxed,101,7,0,6,5,0
1.017,ENB,MAC,Rxed,101,7,0,6,4,0
1.017,ENB,MAC,Rxed,101,7,0,6,3,0
1.017,ENB,MAC,Rxed,101,7,0,6,2,0
1.017,ENB,MAC,Rxed,101,7,0,6,1,0
1.017,ENB,MAC,Rxed,101,7,0,6,5,0
1.017,ENB,MAC,Rxed,101,7,0,6,4,0
1.017,ENB,MAC,Rxed,101,7,0,6,3,0
1.017,ENB,MAC,Rxed,101,7,0,6,2,0
1.017,ENB,MAC,Rxed,101,7,0,6,1,0
1.017,ENB,MAC,Rxed,101,7,0,8,7,0
1.017,ENB,MAC,Rxed,101,7,0,8,6,0
1.017,ENB,MAC,Rxed,101,7,0,8,5,0
1.017,ENB,MAC,Rxed,101,7,0,8,4,0
1.017,ENB,MAC,Rxed,101,7,0,8,3,0
1.017,ENB,MAC,Rxed,101,7,0,8,2,0
1.017,ENB,MAC,Rxed,101,7,0,8,1,0
1.017,ENB,MAC,Rxed,101,7,0,8,7,0
1.017,ENB,MAC,Rxed,101,7,0,8,6,0
1.017,ENB,MAC,Rxed,101,7,0,8,5,0
1.017,ENB,MAC,Rxed,101,7,0,8,4,0
1.017,ENB,MAC,Rxed,101,7,0,8,3,0
1.017,ENB,MAC,Rxed,101,7,0,8,2,0
1.017,ENB,MAC,Rxed,101,7,0,8,1,0
1.018,ENB,MAC,Rxed,101,8,0,2,5,0
1.018,ENB,MAC,Rxed,101,8,0,2,4,0
1.018,ENB,MAC,Rxed,101,8,0,2,3,0
1.018,ENB,MAC,Rxed,101,8,0,2,2,0
1.018,ENB,MAC,Rxed,101,8,0,2,1,0
1.018,ENB,MAC,Rxed,101,8,0,2,5,0
1.018,ENB,MAC,Rxed,101,8,0,2,4,0
1.018,ENB,MAC,Rxed,101,8,0,2,3,0
1.018,ENB,MAC,Rxed,101,8,0,2,2,0
1.018,ENB,MAC,Rxed,101,8,0,2,1,0
1.018,ENB,MAC,Rxed,101,8,0,4,3,0
1.018,ENB,MAC,Rxed,101,8,0,4,2,0
1.018,ENB,MAC,Rxed,101,8,0,4,1,0
1.018,ENB,MAC,Rxed,101,8,0,4,3,0
1.018,ENB,MAC,Rxed,101,8,0,4,2,0
1.018,ENB,MAC,Rxed,101,8,0,4,1,0
1.018,ENB,MAC,Rxed,101,8,0,6,5,0
1.018,ENB,MAC,Rxed,101,8,0,6,4,0
1.018,ENB,MAC,Rxed,101,8,0,6,3,0
1.018,ENB,MAC,Rxed,101,8,0,6,2,0
1.018,ENB,MAC,Rxed,101,8,0,6,1,0
1.018,ENB,MAC,Rxed,101,8,0,6,5,0
1.018,ENB,MAC,Rxed,101,8,0,6,4,0
1.018,ENB,MAC,Rxed,101,8,0,6,3,0
1.018,ENB,MAC,Rxed,101,8,0,6,2,0
1.018,ENB,MAC,Rxed,101,8,0,6,1,0
1.018,ENB,MAC,Rxed,101,8,0,8,7,0
1.018,ENB,MAC,Rxed,101,8,0,8,6,0
1.018,ENB,MAC,Rxed,101,8,0,8,5,0
1.018,ENB,MAC,Rxed,101,8,0,8,4,0
1.018,ENB,MAC,Rxed,101,8,0,8,3,0
1.018,ENB,MAC,Rxed,101,8,0,8,2,0
1.018,ENB,MAC,Rxed,101,8,0,8,1,0
1.018,ENB,MAC,Rxed,101,8,0,8,7,0
1.018,ENB,MAC,Rxed,101,8,0,8,6,0
1.018,ENB,MAC,Rxed,101,8,0,8,5,0
1.018,ENB,MAC,Rxed,101,8,0,8,4,0
1.018,ENB,MAC,Rxed,101,8,0,8,3,0
1.018,ENB,MAC,Rxed,101,8,0,8,2,0
1.018,ENB,MAC,Rxed,101,8,0,8,1,0
1.019,ENB,MAC,Rxed,101,9,0,2,5,0
1.019,ENB,MAC,Rxed,101,9,0,2,4,0
1.019,ENB,MAC,Rxed,101,9,0,2,3,0
1.019,ENB,MAC,Rxed,101,9,0,2,2,0
1.019,ENB,MAC,Rxed,101,9,0,2,1,0
1.019,ENB,MAC,Rxed,101,9,0,2,5,0
1.019,ENB,MAC,Rxed,101,9,0,2,4,0
1.019,ENB,MAC,Rxed,101,9,0,2,3,0
1.019,ENB,MAC,Rxed,101,9,0,2,2,0
1.019,ENB,MAC,Rxed,101,9,0,2,1,0
1.019,ENB,MAC,Rxed,101,9,0,4,3,0
1.019,ENB,MAC,Rxed,101,9,0,4,2,0
1.019,ENB,MAC,Rxed,101,9,0,4,1,0
1.019,ENB,MAC,Rxed,101,9,0,4,3,0
1.019,ENB,MAC,Rxed,101,9,0,4,2,0
1.019,ENB,MAC,Rxed,101,9,0,4,1,0
1.019,ENB,MAC,Rxed,101,9,0,6,5,0
1.019,ENB,MAC,Rxed,101,9,0,6,4,0
1.019,ENB,MAC,Rxed,101,9,0,6,3,0
1.019,ENB,MAC,Rxed,101,9,0,6,2,0
1.019,ENB,MAC,Rxed,101,9,0,6,1,0
1.019,ENB,MAC,Rxed,101,9,0,6,5,0
1.019,ENB,MAC,Rxed,101,9,0,6,4,0
1.019,ENB,MAC,Rxed,101,9,0,6,3,0
1.019,ENB,MAC,Rxed,101,9,0,6,2,0
1.019,ENB,MAC,Rxed,101,9,0,6,1,0
1.019,ENB,MAC,Rxed,101,9,0,8,7,0
1.019,ENB,MAC,Rxed,101,9,0,8,6,0
1.019,ENB,MAC,Rxed,101,9,0,8,5,0
1.019,ENB,MAC,Rxed,101,9,0,8,4,0
1.019,ENB,MAC,Rxed,101,9,0,8,3,0
1.019,ENB,MAC,Rxed,101,9,0,8,2,0
1.019,ENB,MAC,Rxed,101,9,0,8,1,0
1.019,ENB,MAC,Rxed,101,9,0,8,7,0
1.019,ENB,MAC,Rxed,101,9,0,8,6,0
1.019,ENB,MAC,Rxed,101,9,0,8,5,0
1.019,ENB,MAC,Rxed,101,9,0,8,4,0
1.019,ENB,MAC,Rxed,101,9,0,8,3,0
1.019,ENB,MAC,Rxed,101,9,0,8,2,0
1.019,ENB,MAC,Rxed,101,9,0,8,1,0
1.02,ENB,MAC,Rxed,102,0,0,2,5,0
1.02,ENB,MAC,Rxed,102,0,0,2,4,0
1.02,ENB,MAC,Rxed,102,0,0,2,3,0
1.02,ENB,MAC,Rxed,102,0,0,2,2,0
1.02,ENB,MAC,Rxed,102,0,0,2,1,0
1.02,ENB,MAC,Rxed,102,0,0,2,5,0
1.02,ENB,MAC,Rxed,102,0,0,2,4,0
1.02,ENB,MAC,Rxed,102,0,0,2,3,0
1.02,ENB,MAC,Rxed,102,0,0,2,2,0
1.02,ENB,MAC,Rxed,102,0,0,2,1,0
1.02,ENB,MAC,Rxed,102,0,0,4,3,0
1.02,ENB,MAC,Rxed,102,0,0,4,2,0
1.02,ENB,MAC,Rxed,102,0,0,4,1,0
1.02,ENB,MAC,Rxed,102,0,0,4,3,0
1.02,ENB,MAC,Rxed,102,0,0,4,2,0
1.02,ENB,MAC,Rxed,102,0,0,4,1,0
1.02,ENB,MAC,Rxed,102,0,0,6,5,0
1.02,ENB,MAC,Rxed,102,0,0,6,4,0
1.02,ENB,MAC,Rxed,102,0,0,6,3,0
1.02,ENB,MAC,Rxed,102,0,0,6,2,0
1.02,ENB,MAC,Rxed,102,0,0,6,1,0
1.02,ENB,MAC,Rxed,102,0,0,6,5,0
1.02,ENB,MAC,Rxed,102,0,0,6,4,0
1.02,ENB,MAC,Rxed,102,0,0,6,3,0
1.02,ENB,MAC,Rxed,102,0,0,6,2,0
1.02,ENB,MAC,Rxed,102,0,0,6,1,0
1.02,ENB,MAC,Rxed,102,0,0,8,7,0
1.02,ENB,MAC,Rxed,102,0,0,8,6,0
1.02,ENB,MAC,Rxed,102,0,0,8,5,0
1.02,ENB,MAC,Rxed,102,0,0,8,4,0
1.02,ENB,MAC,Rxed,102,0,0,8,3,0
1.02,ENB,MAC,Rxed,102,0,0,8,2,0
1.02,ENB,MAC,Rxed,102,0,0,8,1,0
1.02,ENB,MAC,Rxed,102,0,0,8,7,0
1.02,ENB,MAC,Rxed,102,0,0,8,6,0
1.02,ENB,MAC,Rxed,102,0,0,8,5,0
1.02,ENB,MAC,Rxed,102,0,0,8,4,0
1.02,ENB,MAC,Rxed,102,0,0,8,3,0
1.02,ENB,MAC,Rxed,102,0,0,8,2,0
1.02,ENB,MAC,Rxed,102,0,0,8,1,0
