Time,Entity,Frame,SF,Slot,VarTTI,nodeId,RNTI,bwpId,MsgType
0.018,ENB,MAC,Txed,1,8,0,2,1,0
0.018,ENB,MAC,Txed,1,8,0,2,2,0
0.018,ENB,MAC,Txed,1,8,0,2,3,0
0.018,ENB,MAC,Txed,1,8,0,2,4,0
0.018,ENB,MAC,Txed,1,8,0,2,5,0
0.018,ENB,MAC,Txed,1,8,0,4,1,0
0.018,ENB,MAC,Txed,1,8,0,4,2,0
0.018,ENB,MAC,Txed,1,8,0,4,3,0
0.018,ENB,MAC,Txed,1,8,0,6,1,0
0.018,ENB,MAC,Txed,1,8,0,6,2,0
0.018,ENB,MAC,Txed,1,8,0,6,3,0
0.018,ENB,MAC,Txed,1,8,0,6,4,0
0.018,ENB,MAC,Txed,1,8,0,6,5,0
0.018,ENB,MAC,Txed,1,8,0,8,1,0
0.018,ENB,MAC,Txed,1,8,0,8,2,0
0.018,ENB,MAC,Txed,1,8,0,8,3,0
0.018,ENB,MAC,Txed,1,8,0,8,4,0
0.018,ENB,MAC,Txed,1,8,0,8,5,0
0.018,ENB,MAC,Txed,1,8,0,8,6,0
0.018,ENB,MAC,Txed,1,8,0,8,7,0
