Time,Entity,Frame,SF,Slot,nodeId,RNTI,bwpId,MsgType
0,ENB,PHY,Txed,0,0,0,2,0
0,ENB,PHY,Txed,0,0,0,4,0
0,ENB,PHY,Txed,0,0,0,6,0
0,ENB,PHY,Txed,0,0,0,8,0
0.005,ENB,PHY,Txed,0,5,0,2,0
0.005,ENB,PHY,Txed,0,5,0,4,0
0.005,ENB,PHY,Txed,0,5,0,6,0
0.005,ENB,PHY,Txed,0,5,0,8,0
0.01,ENB,PHY,Txed,1,0,0,2,0
0.01,ENB,PHY,Txed,1,0,0,4,0
0.01,ENB,PHY,Txed,1,0,0,6,0
0.01,ENB,PHY,Txed,1,0,0,8,0
0.015,ENB,PHY,Txed,1,5,0,2,0
0.015,ENB,PHY,Txed,1,5,0,4,0
0.015,ENB,PHY,Txed,1,5,0,6,0
0.015,ENB,PHY,Txed,1,5,0,8,0
0.02,ENB,PHY,Txed,2,0,0,2,0
0.02,ENB,PHY,Txed,2,0,0,2,0
0.02,ENB,PHY,Txed,2,0,0,4,0
0.02,ENB,PHY,Txed,2,0,0,4,0
0.02,ENB,PHY,Txed,2,0,0,6,0
0.02,ENB,PHY,Txed,2,0,0,6,0
0.02,ENB,PHY,Txed,2,0,0,8,0
0.02,ENB,PHY,Txed,2,0,0,8,0
0.023,ENB,PHY,Txed,2,3,0,6,0
0.025,ENB,PHY,Txed,2,5,0,2,0
0.025,ENB,PHY,Txed,2,5,0,4,0
0.025,ENB,PHY,Txed,2,5,0,6,0
0.025,ENB,PHY,Txed,2,5,0,8,0
0.028,ENB,PHY,Txed,2,8,0,8,0
0.03,ENB,PHY,Txed,3,0,0,2,0
0.03,ENB,PHY,Txed,3,0,0,4,0
0.03,ENB,PHY,Txed,3,0,0,6,0
0.03,ENB,PHY,Txed,3,0,0,8,0
0.032,ENB,PHY,Txed,3,2,0,2,0
0.034,ENB,PHY,Txed,3,4,0,6,0
0.035,ENB,PHY,Txed,3,5,0,2,0
0.035,ENB,PHY,Txed,3,5,0,4,0
0.035,ENB,PHY,Txed,3,5,0,6,0
0.035,ENB,PHY,Txed,3,5,0,8,0
0.037,ENB,PHY,Txed,3,7,0,8,0
0.04,ENB,PHY,Txed,4,0,0,2,0
0.04,ENB,PHY,Txed,4,0,0,4,0
0.04,ENB,PHY,Txed,4,0,0,6,0
0.04,ENB,PHY,Txed,4,0,0,8,0
0.045,ENB,PHY,Txed,4,5,0,2,0
0.045,ENB,PHY,Txed,4,5,0,4,0
0.045,ENB,PHY,Txed,4,5,0,6,0
0.045,ENB,PHY,Txed,4,5,0,8,0
0.05,ENB,PHY,Txed,5,0,0,2,0
0.05,ENB,PHY,Txed,5,0,0,4,0
0.05,ENB,PHY,Txed,5,0,0,6,0
0.05,ENB,PHY,Txed,5,0,0,8,0
0.05,ENB,PHY,Txed,5,0,0,8,0
0.051,ENB,PHY,Txed,5,1,0,2,0
0.051,ENB,PHY,Txed,5,1,0,4,0
0.055,ENB,PHY,Txed,5,5,0,2,0
0.055,ENB,PHY,Txed,5,5,0,4,0
0.055,ENB,PHY,Txed,5,5,0,6,0
0.055,ENB,PHY,Txed,5,5,0,8,0
0.059,ENB,PHY,Txed,5,9,0,2,0
0.059,ENB,PHY,Txed,5,9,0,8,0
0.06,ENB,PHY,Txed,6,0,0,2,0
0.06,ENB,PHY,Txed,6,0,0,4,0
0.06,ENB,PHY,Txed,6,0,0,6,0
0.06,ENB,PHY,Txed,6,0,0,8,0
0.061,ENB,PHY,Txed,6,1,0,4,0
0.061,ENB,PHY,Txed,6,1,0,6,0
0.065,ENB,PHY,Txed,6,5,0,2,0
0.065,ENB,PHY,Txed,6,5,0,4,0
0.065,ENB,PHY,Txed,6,5,0,6,0
0.065,ENB,PHY,Txed,6,5,0,8,0
0.068,ENB,PHY,Txed,6,8,0,4,0
0.07,ENB,PHY,Txed,7,0,0,2,0
0.07,ENB,PHY,Txed,7,0,0,4,0
0.07,ENB,PHY,Txed,7,0,0,6,0
0.07,ENB,PHY,Txed,7,0,0,8,0
0.075,ENB,PHY,Txed,7,5,0,2,0
0.075,ENB,PHY,Txed,7,5,0,4,0
0.075,ENB,PHY,Txed,7,5,0,6,0
