Time,Entity,Frame,SF,Slot,nodeId,RNTI,bwpId,MsgType
0.0179286,UE,PHY,Txed,1,7,0,6,0
0.0179286,UE,PHY,Txed,1,7,0,6,0
0.0179286,UE,PHY,Txed,1,7,0,8,0
0.0179286,UE,PHY,Txed,1,7,0,8,0
0.0179286,UE,PHY,Txed,1,7,0,4,0
0.0179286,UE,PHY,Txed,1,7,0,8,0
0.0179286,UE,PHY,Txed,1,7,0,4,0
0.0179286,UE,PHY,Txed,1,7,0,6,0
0.0179286,UE,PHY,Txed,1,7,0,8,0
0.0179286,UE,PHY,Txed,1,7,0,2,0
0.0179286,UE,PHY,Txed,1,7,0,4,0
0.0179286,UE,PHY,Txed,1,7,0,6,0
0.0179286,UE,PHY,Txed,1,7,0,8,0
0.0179286,UE,PHY,Txed,1,7,0,8,0
0.0179286,UE,PHY,Txed,1,7,0,6,0
0.0179286,UE,PHY,Txed,1,7,0,2,0
0.0179286,UE,PHY,Txed,1,7,0,2,0
0.0179286,UE,PHY,Txed,1,7,0,8,0
0.0179286,UE,PHY,Txed,1,7,0,2,0
0.0179286,UE,PHY,Txed,1,7,0,2,0
0.0258571,UE,PHY,Txed,2,5,0,6,1
0.0308571,UE,PHY,Txed,3,0,0,8,6
0.0348571,UE,PHY,Txed,3,4,0,2,2
0.0368571,UE,PHY,Txed,3,6,0,6,3
0.0398571,UE,PHY,Txed,3,9,0,8,4
0.0528571,UE,PHY,Txed,5,2,0,8,3
0.0538571,UE,PHY,Txed,5,3,0,4,3
0.0538571,UE,PHY,Txed,5,3,0,2,4
0.0618571,UE,PHY,Txed,6,1,0,8,5
0.0618571,UE,PHY,Txed,6,1,0,2,1
0.0638571,UE,PHY,Txed,6,3,0,6,4
0.0638571,UE,PHY,Txed,6,3,0,4,1
0.0708571,UE,PHY,Txed,7,0,0,4,2
0.0788571,UE,PHY,Txed,7,8,0,6,5
0.0828571,UE,PHY,Txed,8,2,0,8,2
0.0908571,UE,PHY,Txed,9,0,0,8,7
0.0978571,UE,PHY,Txed,9,7,0,2,3
0.0998571,UE,PHY,Txed,9,9,0,2,5
0.100857,UE,PHY,Txed,10,0,0,8,1
0.101857,UE,PHY,Txed,10,1,0,6,2
0.105857,UE,PHY,Txed,10,5,0,6,1
0.110857,UE,PHY,Txed,11,0,0,8,6
0.114857,UE,PHY,Txed,11,4,0,2,2
0.116857,UE,PHY,Txed,11,6,0,6,3
0.119857,UE,PHY,Txed,11,9,0,8,4
0.132857,UE,PHY,Txed,13,2,0,8,3
0.133857,UE,PHY,Txed,13,3,0,4,3
0.133857,UE,PHY,Txed,13,3,0,2,4
0.141857,UE,PHY,Txed,14,1,0,8,5
0.141857,UE,PHY,Txed,14,1,0,2,1
0.143857,UE,PHY,Txed,14,3,0,6,4
0.143857,UE,PHY,Txed,14,3,0,4,1
0.150857,UE,PHY,Txed,15,0,0,4,2
0.158857,UE,PHY,Txed,15,8,0,6,5
0.162857,UE,PHY,Txed,16,2,0,8,2
0.170857,UE,PHY,Txed,17,0,0,8,7
0.177857,UE,PHY,Txed,17,7,0,2,3
0.179857,UE,PHY,Txed,17,9,0,2,5
0.180857,UE,PHY,Txed,18,0,0,8,1
0.181857,UE,PHY,Txed,18,1,0,6,2
0.185857,UE,PHY,Txed,18,5,0,6,1
0.190857,UE,PHY,Txed,19,0,0,8,6
0.194857,UE,PHY,Txed,19,4,0,2,2
0.196857,UE,PHY,Txed,19,6,0,6,3
0.199857,UE,PHY,Txed,19,9,0,8,4
0.212857,UE,PHY,Txed,21,2,0,8,3
0.213857,UE,PHY,Txed,21,3,0,4,3
0.213857,UE,PHY,Txed,21,3,0,2,4
0.221857,UE,PHY,Txed,22,1,0,8,5
0.221857,UE,PHY,Txed,22,1,0,2,1
0.223857,UE,PHY,Txed,22,3,0,6,4
0.223857,UE,PHY,Txed,22,3,0,4,1
0.230857,UE,PHY,Txed,23,0,0,4,2
0.238857,UE,PHY,Txed,23,8,0,6,5
0.242857,UE,PHY,Txed,24,2,0,8,2
0.250857,UE,PHY,Txed,25,0,0,8,7
0.257857,UE,PHY,Txed,25,7,0,2,3
0.259857,UE,PHY,Txed,25,9,0,2,5
0.260857,UE,PHY,Txed,26,0,0,8,1
0.261857,UE,PHY,Txed,26,1,0,6,2
0.265857,UE,PHY,Txed,26,5,0,6,1
0.270857,UE,PHY,Txed,27,0,0,8,6
0.274857,UE,PHY,Txed,27,4,0,2,2
0.276857,UE,PHY,Txed,27,6,0,6,3
0.279857,UE,PHY,Txed,27,9,0,8,4
0.292857,UE,PHY,Txed,29,2,0,8,3
0.293857,UE,PHY,Txed,29,3,0,4,3
0.293857,UE,PHY,Txed,29,3,0,2,4
0.301857,UE,PHY,Txed,30,1,0,8,5
0.301857,UE,PHY,Txed,30,1,0,2,1
0.303857,UE,PHY,Txed,30,3,0,6,4
0.303857,UE,PHY,Txed,30,3,0,4,1
0.310857,UE,PHY,Txed,31,0,0,4,2
0.318857,UE,PHY,Txed,31,8,0,6,5
0.322857,UE,PHY,Txed,32,2,0,8,2
0.330857,UE,PHY,Txed,33,0,0,8,7
0.337857,UE,PHY,Txed,33,7,0,2,3
0.339857,UE,PHY,Txed,33,9,0,2,5
0.340857,UE,PHY,Txed,34,0,0,8,1
0.341857,UE,PHY,Txed,34,1,0,6,2
0.345857,UE,PHY,Txed,34,5,0,6,1
0.350857,UE,PHY,Txed,35,0,0,8,6
0.354857,UE,PHY,Txed,35,4,0,2,2
0.356857,UE,PHY,Txed,35,6,0,6,3
0.359857,UE,PHY,Txed,35,9,0,8,4
0.372857,UE,PHY,Txed,37,2,0,8,3
0.373857,UE,PHY,Txed,37,3,0,4,3
0.373857,UE,PHY,Txed,37,3,0,2,4
0.381857,UE,PHY,Txed,38,1,0,8,5
0.381857,UE,PHY,Txed,38,1,0,2,1
0.383857,UE,PHY,Txed,38,3,0,6,4
0.383857,UE,PHY,Txed,38,3,0,4,1
0.390857,UE,PHY,Txed,39,0,0,4,2
0.398857,UE,PHY,Txed,39,8,0,6,5
0.402857,UE,PHY,Txed,40,2,0,8,2
0.410857,UE,PHY,Txed,41,0,0,8,7
0.417857,UE,PHY,Txed,41,7,0,2,3
0.419857,UE,PHY,Txed,41,9,0,2,5
0.420857,UE,PHY,Txed,42,0,0,8,1
0.421857,UE,PHY,Txed,42,1,0,6,2
0.425857,UE,PHY,Txed,42,5,0,6,1
0.430857,UE,PHY,Txed,43,0,0,8,6
0.434857,UE,PHY,Txed,43,4,0,2,2
0.436857,UE,PHY,Txed,43,6,0,6,3
0.439857,UE,PHY,Txed,43,9,0,8,4
0.452857,UE,PHY,Txed,45,2,0,8,3
0.453857,UE,PHY,Txed,45,3,0,4,3
0.453857,UE,PHY,Txed,45,3,0,2,4
0.461857,UE,PHY,Txed,46,1,0,8,5
0.461857,UE,PHY,Txed,46,1,0,2,1
0.463857,UE,PHY,Txed,46,3,0,6,4
0.463857,UE,PHY,Txed,46,3,0,4,1
0.470857,UE,PHY,Txed,47,0,0,4,2
0.478857,UE,PHY,Txed,47,8,0,6,5
0.482857,UE,PHY,Txed,48,2,0,8,2
0.490857,UE,PHY,Txed,49,0,0,8,7
0.497857,UE,PHY,Txed,49,7,0,2,3
