Time,CellId,RNTI,BWPId,SINR(dB)
1.01314,8,7,0,18.0835
1.01321,8,6,0,69.7997
1.01329,2,5,0,33.2898
1.01329,4,3,0,50.1439
1.01329,6,5,0,18.616
1.01336,8,5,0,21.6766
1.01343,2,4,0,32.6716
1.0135,6,4,0,71.7477
1.0135,8,4,0,23.4139
1.01357,4,2,0,26.6823
1.01357,2,3,0,35.4309
1.01364,6,3,0,8.07486
1.01364,8,3,0,60.0913
1.01371,2,2,0,44.4149
1.01379,6,2,0,26.3052
1.01379,8,2,0,66.7509
1.01386,4,1,0,23.3263
1.01386,2,1,0,37.6012
1.01393,6,1,0,29.7156
1.01393,8,1,0,63.3508
1.01414,8,7,0,18.0629
1.01421,8,6,0,69.7562
1.01429,2,5,0,33.2016
1.01429,6,5,0,18.7121
1.01436,4,3,0,51.0355
1.01436,8,5,0,21.5998
1.0145,2,4,0,31.7525
1.0145,6,4,0,71.7919
1.0145,8,4,0,23.91
1.01464,4,2,0,26.6836
1.01464,2,3,0,35.5016
1.01464,6,3,0,7.50374
1.01464,8,3,0,60.1651
1.01479,2,2,0,44.6101
1.01479,6,2,0,26.2772
1.01479,8,2,0,66.7778
1.01493,4,1,0,22.43
1.01493,2,1,0,37.5612
1.01493,6,1,0,29.4096
1.01493,8,1,0,60.8674
1.01514,8,7,0,18.0727
1.01521,8,6,0,69.8006
1.01529,2,5,0,33.1638
1.01529,6,5,0,18.8638
1.01536,4,3,0,51.0591
1.01536,8,5,0,21.6449
1.0155,2,4,0,31.7616
1.0155,6,4,0,71.838
1.0155,8,4,0,23.9224
1.01564,4,2,0,26.7631
1.01564,2,3,0,35.4709
1.01564,6,3,0,7.48351
1.01564,8,3,0,60.2057
1.01579,2,2,0,44.4864
1.01579,6,2,0,26.1669
1.01579,8,2,0,66.766
1.01593,4,1,0,22.3176
1.01593,2,1,0,37.6558
1.01593,6,1,0,29.3851
1.01593,8,1,0,60.8895
1.01614,8,7,0,18.0172
1.01621,8,6,0,69.8101
1.01629,2,5,0,33.1396
1.01629,6,5,0,18.9257
1.01636,4,3,0,50.5163
1.01636,8,5,0,21.7072
1.0165,2,4,0,31.7717
1.0165,6,4,0,71.8549
1.0165,8,4,0,23.8699
1.01664,4,2,0,26.8044
1.01664,2,3,0,35.522
1.01664,6,3,0,7.30359
1.01664,8,3,0,60.1332
1.01679,2,2,0,44.4954
1.01679,6,2,0,26.133
1.01679,8,2,0,66.8114
1.01693,4,1,0,22.2223
1.01693,2,1,0,37.6496
1.01693,6,1,0,29.438
1.01693,8,1,0,60.881
1.01714,8,7,0,17.9893
1.01721,8,6,0,69.881
1.01729,2,5,0,33.1929
1.01729,6,5,0,18.9526
1.01736,4,3,0,49.7233
1.01736,8,5,0,21.6778
1.0175,2,4,0,31.6599
1.0175,6,4,0,71.9077
1.0175,8,4,0,23.9585
1.01764,4,2,0,26.8622
1.01764,2,3,0,35.5129
1.01764,6,3,0,7.34264
1.01764,8,3,0,60.0903
1.01779,2,2,0,44.4464
1.01779,6,2,0,26.0193
1.01779,8,2,0,66.794
1.01793,4,1,0,22.2289
1.01793,2,1,0,37.6307
1.01793,6,1,0,29.5185
1.01793,8,1,0,60.8039
1.01814,8,7,0,17.9325
1.01821,8,6,0,69.8316
1.01829,2,5,0,33.1869
1.01829,6,5,0,19.0059
1.01836,4,3,0,50.2633
1.01836,8,5,0,21.6751
1.0185,2,4,0,31.5958
1.0185,6,4,0,71.8599
1.0185,8,4,0,23.9189
1.01864,4,2,0,26.7997
1.01864,2,3,0,35.4842
1.01864,6,3,0,7.37947
1.01864,8,3,0,60.041
1.01879,2,2,0,44.3868
1.01879,6,2,0,26.0447
1.01879,8,2,0,66.8225
