%,time(s),cellId,bwpId,IMSI,RNTI,frame,sframe,slot,symStart,numSym,harqId,ndi,rv,mcs,tbSize
1.011,1,0,10,5,101,3,0,1,3,15,1,0,0,700,
1.011,1,0,16,4,101,3,0,4,2,15,1,0,0,466,
1.011,1,0,17,3,101,3,0,6,2,15,1,0,0,466,
1.011,1,0,19,2,101,3,0,8,2,15,1,0,0,466,
1.011,1,0,20,1,101,3,0,10,2,15,1,0,0,466,
1.011,3,0,5,3,101,3,0,1,3,15,1,0,0,700,
1.011,3,0,7,2,101,3,0,4,4,15,1,0,0,935,
1.011,3,0,11,1,101,3,0,8,4,15,1,0,0,935,
1.011,5,0,1,5,101,3,0,1,3,15,1,0,0,700,
1.011,5,0,2,4,101,3,0,4,3,15,1,0,0,700,
1.011,5,0,8,3,101,3,0,7,2,15,1,0,0,466,
1.011,5,0,12,2,101,3,0,9,2,15,1,0,0,466,
1.011,5,0,15,1,101,3,0,11,2,15,1,0,0,466,
1.011,7,0,3,7,101,3,0,1,1,15,1,0,0,231,
1.011,7,0,4,6,101,3,0,2,1,15,1,0,0,231,
1.011,7,0,6,5,101,3,0,3,2,15,1,0,0,466,
1.011,7,0,9,4,101,3,0,5,2,15,1,0,0,466,
1.011,7,0,13,3,101,3,0,7,2,15,1,0,0,466,
1.011,7,0,14,2,101,3,0,9,2,15,1,0,0,466,
1.011,7,0,18,1,101,3,0,11,2,15,1,0,0,466,
1.012,1,0,10,5,101,4,0,1,3,14,1,0,0,700,
1.012,1,0,16,4,101,4,0,4,3,14,1,0,0,700,
1.012,1,0,17,3,101,4,0,7,2,14,1,0,0,466,
1.012,1,0,19,2,101,4,0,9,2,14,1,0,0,466,
1.012,1,0,20,1,101,4,0,11,2,14,1,0,0,466,
1.012,3,0,5,3,101,4,0,1,4,14,1,0,0,935,
1.012,3,0,7,2,101,4,0,5,4,14,1,0,0,935,
1.012,3,0,11,1,101,4,0,9,4,14,1,0,0,935,
1.012,5,0,1,5,101,4,0,1,3,14,1,0,0,700,
1.012,5,0,2,4,101,4,0,4,3,14,1,0,0,700,
1.012,5,0,8,3,101,4,0,7,2,14,1,0,0,466,
1.012,5,0,12,2,101,4,0,9,2,14,1,0,0,466,
1.012,5,0,15,1,101,4,0,11,2,14,1,0,0,466,
1.012,7,0,3,7,101,4,0,1,1,14,1,0,0,231,
1.012,7,0,4,6,101,4,0,2,1,14,1,0,0,231,
1.012,7,0,6,5,101,4,0,3,2,14,1,0,0,466,
1.012,7,0,9,4,101,4,0,5,2,14,1,0,0,466,
1.012,7,0,13,3,101,4,0,7,2,14,1,0,0,466,
1.012,7,0,14,2,101,4,0,9,2,14,1,0,0,466,
1.012,7,0,18,1,101,4,0,11,2,14,1,0,0,466,
1.013,1,0,10,5,101,5,0,1,3,13,1,0,0,700,
1.013,1,0,16,4,101,5,0,4,3,13,1,0,0,700,
1.013,1,0,17,3,101,5,0,7,2,13,1,0,0,466,
1.013,1,0,19,2,101,5,0,9,2,13,1,0,0,466,
1.013,1,0,20,1,101,5,0,11,2,13,1,0,0,466,
1.013,3,0,5,3,101,5,0,1,4,13,1,0,0,935,
1.013,3,0,7,2,101,5,0,5,4,13,1,0,0,935,
1.013,3,0,11,1,101,5,0,9,4,13,1,0,0,935,
1.013,5,0,1,5,101,5,0,1,3,13,1,0,0,700,
1.013,5,0,2,4,101,5,0,4,3,13,1,0,0,700,
1.013,5,0,8,3,101,5,0,7,2,13,1,0,0,466,
1.013,5,0,12,2,101,5,0,9,2,13,1,0,0,466,
1.013,5,0,15,1,101,5,0,11,2,13,1,0,0,466,
1.013,7,0,3,7,101,5,0,1,1,13,1,0,0,231,
1.013,7,0,4,6,101,5,0,2,1,13,1,0,0,231,
1.013,7,0,6,5,101,5,0,3,2,13,1,0,0,466,
1.013,7,0,9,4,101,5,0,5,2,13,1,0,0,466,
1.013,7,0,13,3,101,5,0,7,2,13,1,0,0,466,
1.013,7,0,14,2,101,5,0,9,2,13,1,0,0,466,
1.013,7,0,18,1,101,5,0,11,2,13,1,0,0,466,
1.014,1,0,10,5,101,6,0,1,3,12,1,0,0,700,
1.014,1,0,16,4,101,6,0,4,3,12,1,0,0,700,
1.014,1,0,17,3,101,6,0,7,2,12,1,0,0,466,
1.014,1,0,19,2,101,6,0,9,2,12,1,0,0,466,
1.014,1,0,20,1,101,6,0,11,2,12,1,0,0,466,
1.014,3,0,5,3,101,6,0,1,4,12,1,0,0,935,
1.014,3,0,7,2,101,6,0,5,4,12,1,0,0,935,
1.014,3,0,11,1,101,6,0,9,4,12,1,0,0,935,
1.014,5,0,1,5,101,6,0,1,3,12,1,0,0,700,
1.014,5,0,2,4,101,6,0,4,3,12,1,0,0,700,
