%,start(s),end(s),CellId,IMSI,RNTI,LCID,nTxPDUs,TxBytes,nRxPDUs,RxBytes,delay(s),stdDev(s),min(s),max(s),PduSize,stdDev,min,max
0,0.25,6,1,5,3,1000,1530000,1000,1530000,0.149551,0.0652726,0.00538308,0.241515,1530,0,1530,1530,
0,0.25,6,2,4,3,1000,1530000,1000,1530000,0.0446593,0.0246482,0.00559611,0.0917557,1530,0,1530,1530,
0,0.25,8,3,7,3,1000,1530000,1000,1530000,0.220022,0.0580117,0.00923771,0.279133,1530,0,1530,1530,
0,0.25,8,4,6,3,1000,1530000,1000,1530000,0.121256,0.0567197,0.00918228,0.193652,1530,0,1530,1530,
0,0.25,4,5,3,3,1000,1530000,1000,1530000,0.0267861,0.0117157,0.00444948,0.0496493,1530,0,1530,1530,
0,0.25,8,6,5,3,1000,1530000,1000,1530000,0.139656,0.0594382,0.00644823,0.219199,1530,0,1530,1530,
0,0.25,4,7,2,3,959,1467270,959,1467270,0.0554694,0.0258263,0.00473268,0.0927884,1530,0,1530,1530,
0,0.25,6,8,3,3,871,1332630,871,1332630,0.339454,0.0812999,0.00673143,0.442234,1530,0,1530,1530,
0,0.25,8,9,4,3,872,1334160,872,1334160,0.144493,0.0709094,0.00658731,0.229357,1530,0,1530,1530,
0,0.25,2,10,5,3,874,1337220,874,1337220,0.0415515,0.021453,0.00537177,0.0816375,1530,0,1530,1530,
0,0.25,4,11,1,3,874,1337220,874,1337220,0.0740469,0.0289959,0.00501337,0.105862,1530,0,1530,1530,
0,0.25,6,12,2,3,874,1337220,874,1337220,0.115278,0.0526741,0.00686926,0.185388,1530,0,1530,1530,
0,0.25,8,13,3,3,874,1337220,874,1337220,0.0600237,0.034168,0.00672515,0.120562,1530,0,1530,1530,
0,0.25,8,14,2,3,872,1334160,872,1334160,0.0600275,0.0340855,0.00686675,0.120685,1530,0,1530,1530,
0,0.25,6,15,1,3,871,1332630,871,1332630,0.0882902,0.0424096,0.00700835,0.151716,1530,0,1530,1530,
0,0.25,2,16,4,3,870,1331100,870,1331100,0.0481365,0.0271793,0.00557852,0.0959078,1530,0,1530,1530,
0,0.25,2,17,3,3,871,1332630,871,1332630,0.0556333,0.030311,0.00672012,0.103433,1530,0,1530,1530,
0,0.25,8,18,1,3,871,1332630,871,1332630,0.0600945,0.0340409,0.00700458,0.120717,1530,0,1530,1530,
0,0.25,2,19,2,3,871,1332630,871,1332630,0.0491295,0.0267362,0.00686047,0.0940025,1530,0,1530,1530,
0,0.25,2,20,1,3,872,1334160,872,1334160,0.0542822,0.0290714,0.00700207,0.0969266,1530,0,1530,1530,
