Time(sec),CellId,BwpId,IMSI,pathLoss(dB)
0.0179286,5,0,1,-134.12
0.0179286,5,0,2,-93.9341
0.0179286,7,0,3,-139.202
0.0179286,7,0,4,-100.202
0.0179286,3,0,5,-104.746
0.0179286,7,0,6,-131.114
0.0179286,3,0,7,-130.446
0.0179286,5,0,8,-143.665
0.0179286,7,0,9,-136.773
0.0179286,1,0,10,-131.63
0.0179286,3,0,11,-128.131
0.0179286,5,0,12,-130.947
0.0179286,7,0,13,-106.991
0.0179286,7,0,14,-103.69
0.0179286,5,0,15,-133.319
0.0179286,1,0,16,-129.009
0.0179286,1,0,17,-130.586
0.0179286,7,0,18,-103.917
0.0179286,1,0,19,-119.475
0.0179286,1,0,20,-128.665
0.0258571,5,0,15,-133.177
0.0308571,7,0,4,-100.139
0.0348571,1,0,19,-119.462
0.0368571,5,0,8,-143.79
0.0398571,7,0,9,-136.892
0.0528571,7,0,13,-107.257
0.0538571,3,0,5,-104.961
0.0538571,1,0,16,-129.088
0.0618571,7,0,6,-130.812
0.0618571,1,0,20,-128.237
0.0638571,5,0,2,-93.7217
0.0638571,3,0,11,-128.131
0.0708571,3,0,7,-130.684
0.0788571,5,0,1,-133.88
0.0828571,7,0,14,-103.68
0.0908571,7,0,3,-138.933
0.0978571,1,0,17,-130.513
0.0998571,1,0,10,-131.22
0.100857,7,0,18,-104.092
0.101857,5,0,12,-130.116
0.105857,5,0,15,-133.469
0.110857,7,0,4,-100.261
0.114857,1,0,19,-120.031
0.116857,5,0,8,-142.273
0.119857,7,0,9,-136.32
0.132857,7,0,13,-107.239
0.133857,3,0,5,-104.86
0.133857,1,0,16,-129.118
0.141857,7,0,6,-130.68
0.141857,1,0,20,-128.889
0.143857,5,0,2,-94.5951
0.143857,3,0,11,-127.376
0.150857,3,0,7,-132.117
0.158857,5,0,1,-133.76
0.162857,7,0,14,-102.894
0.170857,7,0,3,-138.238
0.177857,1,0,17,-129.428
0.179857,1,0,10,-130.975
0.180857,7,0,18,-104.566
0.181857,5,0,12,-129.769
0.185857,5,0,15,-134.475
0.190857,7,0,4,-100.376
0.194857,1,0,19,-119.839
0.196857,5,0,8,-142.089
0.199857,7,0,9,-136.358
0.212857,7,0,13,-107.374
0.213857,3,0,5,-104.461
0.213857,1,0,16,-129.235
0.221857,7,0,6,-130.47
0.221857,1,0,20,-128.818
0.223857,5,0,2,-95.0652
0.223857,3,0,11,-126.939
0.230857,3,0,7,-132.247
0.238857,5,0,1,-132.377
0.242857,7,0,14,-102.236
0.250857,7,0,3,-138.519
0.257857,1,0,17,-129.908
0.259857,1,0,10,-130.559
0.260857,7,0,18,-104.498
0.261857,5,0,12,-129.08
0.265857,5,0,15,-134.645
0.270857,7,0,4,-100.605
0.274857,1,0,19,-119.222
0.276857,5,0,8,-142.622
0.279857,7,0,9,-136.134
0.292857,7,0,13,-107.348
0.293857,3,0,5,-104.568
0.293857,1,0,16,-129.112
0.301857,7,0,6,-130.027
0.301857,1,0,20,-128.68
0.303857,5,0,2,-95.2971
0.303857,3,0,11,-125.935
0.310857,3,0,7,-132.789
0.318857,5,0,1,-132.315
0.322857,7,0,14,-102.524
0.330857,7,0,3,-138.058
0.337857,1,0,17,-130.114
0.339857,1,0,10,-131.372
0.340857,7,0,18,-104.169
