Time,CellId,RNTI,BWPId,SINR(dB)
1.01314,8,7,0,21.1212
1.01321,8,6,0,86.8654
1.01329,2,5,0,43.7904
1.01329,4,3,0,58.2455
1.01329,6,5,0,31.7892
1.01336,8,5,0,24.8712
1.01343,2,4,0,38.0221
1.0135,6,4,0,88.255
1.0135,8,4,0,26.0041
1.01357,4,2,0,33.967
1.01357,2,3,0,51.2989
1.01364,6,3,0,17.7716
1.01364,8,3,0,72.9223
1.01371,2,2,0,59.4585
1.01379,6,2,0,30.8328
1.01379,8,2,0,82.7154
1.01386,4,1,0,30.1884
1.01386,2,1,0,46.2328
1.01393,6,1,0,32.6817
1.01393,8,1,0,76.0824
1.01414,8,7,0,21.1124
1.01421,8,6,0,86.8516
1.01429,2,5,0,43.7458
1.01429,6,5,0,31.8901
1.01436,4,3,0,57.6086
1.01436,8,5,0,25.1844
1.0145,2,4,0,36.5649
1.0145,6,4,0,88.2766
1.0145,8,4,0,26.338
1.01464,4,2,0,34.0005
1.01464,2,3,0,50.448
1.01464,6,3,0,15.7395
1.01464,8,3,0,73.9804
1.01479,2,2,0,59.7214
1.01479,6,2,0,30.7995
1.01479,8,2,0,82.8629
1.01493,4,1,0,31.2244
1.01493,2,1,0,46.4773
1.01493,6,1,0,32.1752
1.01493,8,1,0,71.6219
1.01514,8,7,0,21.1562
1.01521,8,6,0,86.9018
1.01529,2,5,0,43.7367
1.01529,6,5,0,32.0055
1.01536,4,3,0,57.5944
1.01536,8,5,0,25.2177
1.0155,2,4,0,36.5916
1.0155,6,4,0,88.3306
1.0155,8,4,0,26.399
1.01564,4,2,0,34.0737
1.01564,2,3,0,50.4235
1.01564,6,3,0,15.7054
1.01564,8,3,0,74.0474
1.01579,2,2,0,59.5902
1.01579,6,2,0,30.6898
1.01579,8,2,0,82.8446
1.01593,4,1,0,31.1036
1.01593,2,1,0,46.5511
1.01593,6,1,0,32.1721
1.01593,8,1,0,71.632
1.01614,8,7,0,21.138
1.01621,8,6,0,86.8989
1.01629,2,5,0,43.763
1.01629,6,5,0,32.0421
1.01636,4,3,0,57.6798
1.01636,8,5,0,25.2653
1.0165,2,4,0,36.6534
1.0165,6,4,0,88.3427
1.0165,8,4,0,26.3396
1.01664,4,2,0,34.1306
1.01664,2,3,0,50.4365
1.01664,6,3,0,15.5412
1.01664,8,3,0,73.9607
1.01679,2,2,0,59.5914
1.01679,6,2,0,30.6723
1.01679,8,2,0,82.8774
1.01693,4,1,0,31.0231
1.01693,2,1,0,46.4704
1.01693,6,1,0,32.2207
1.01693,8,1,0,71.5952
1.01714,8,7,0,21.1675
1.01721,8,6,0,86.921
1.01729,2,5,0,43.8504
1.01729,6,5,0,32.0115
1.01736,4,3,0,57.7279
1.01736,8,5,0,25.1621
1.0175,2,4,0,36.5664
1.0175,6,4,0,88.4035
1.0175,8,4,0,26.3934
1.01764,4,2,0,34.1968
1.01764,2,3,0,50.429
1.01764,6,3,0,15.5367
1.01764,8,3,0,73.9408
1.01779,2,2,0,59.5195
1.01779,6,2,0,30.5638
1.01779,8,2,0,82.8078
1.01793,4,1,0,31.0206
1.01793,2,1,0,46.4083
1.01793,6,1,0,32.3215
1.01793,8,1,0,71.5399
1.01814,8,7,0,21.1359
1.01821,8,6,0,86.8554
1.01829,2,5,0,43.8635
1.01829,6,5,0,32.0522
1.01836,4,3,0,57.748
1.01836,8,5,0,25.1474
1.0185,2,4,0,36.5051
1.0185,6,4,0,88.3757
1.0185,8,4,0,26.3866
1.01864,4,2,0,34.1326
1.01864,2,3,0,50.405
1.01864,6,3,0,15.5956
1.01864,8,3,0,73.8817
1.01879,2,2,0,59.4427
1.01879,6,2,0,30.5708
1.01879,8,2,0,82.8116
1.01893,4,1,0,31.0735
1.01893,2,1,0,46.4968
1.01893,6,1,0,32.4014
1.01893,8,1,0,71.5945
1.01914,8,7,0,21.2125
1.01921,8,6,0,86.8426
1.01929,2,5,0,43.8914
1.01929,6,5,0,32.1122
1.01936,4,3,0,57.7645
1.01936,8,5,0,25.1008
1.0195,2,4,0,36.4246
1.0195,6,4,0,88.3591
1.0195,8,4,0,26.3567
1.01964,4,2,0,34.0972
1.01964,2,3,0,50.4414
1.01964,6,3,0,15.5775
1.01964,8,3,0,73.9197
1.01979,2,2,0,59.4768
1.01979,6,2,0,30.5858
1.01979,8,2,0,82.8204
1.01993,4,1,0,31.1161
1.01993,2,1,0,46.455
1.01993,6,1,0,32.373
1.01993,8,1,0,71.598
1.02014,8,7,0,21.2422
1.02021,8,6,0,86.8374
1.02029,2,5,0,43.9437
1.02029,6,5,0,32.128
1.02036,4,3,0,57.8384
1.02036,8,5,0,25.1271
1.0205,2,4,0,36.3203
1.0205,6,4,0,88.3884
1.0205,8,4,0,26.3072
1.02064,4,2,0,34.0543
1.02064,2,3,0,50.5357
1.02064,6,3,0,15.4898
1.02064,8,3,0,73.953
1.02079,2,2,0,59.4735
1.02079,6,2,0,30.6488
1.02079,8,2,0,82.8156
1.02093,4,1,0,31.1644
1.02093,2,1,0,46.4603
1.02093,6,1,0,32.381
1.02093,8,1,0,71.4836
1.02114,8,7,0,21.257
1.02121,8,6,0,86.8647
1.02129,2,5,0,44.0086
1.02129,6,5,0,32.1961
1.02129,8,5,0,23.7999
1.02136,4,3,0,57.9078
1.02143,2,4,0,35.7398
1.02143,8,4,0,27.6181
