%,start(s),end(s),CellId,IMSI,RNTI,LCID,nTxPDUs,TxBytes,nRxPDUs,RxBytes,delay(s),stdDev(s),min(s),max(s),PduSize,stdDev,min,max
0,0.25,6,1,5,3,1000,1530000,1000,1530000,0.0859582,0.0459922,0.00538308,0.166025,1530,0,1530,1530,
0,0.25,6,2,4,3,1000,1530000,1000,1530000,0.0493298,0.0274642,0.00559611,0.0966253,1530,0,1530,1530,
0,0.25,8,3,7,3,1000,1530000,1000,1530000,0.180599,0.0479535,0.00921259,0.211715,1530,0,1530,1530,
0,0.25,8,4,6,3,1000,1530000,1000,1530000,0.125617,0.0526561,0.00918228,0.188654,1530,0,1530,1530,
0,0.25,4,5,3,3,1000,1530000,1000,1530000,0.0283171,0.0130388,0.00444948,0.0513972,1530,0,1530,1530,
0,0.25,8,6,5,3,1000,1530000,1000,1530000,0.125688,0.0486303,0.00644823,0.185814,1530,0,1530,1530,
0,0.25,4,7,2,3,959,1467270,959,1467270,0.0419956,0.0195392,0.00473268,0.0754983,1530,0,1530,1530,
0,0.25,6,8,3,3,871,1332630,871,1332630,0.168493,0.0348806,0.00673143,0.197238,1530,0,1530,1530,
0,0.25,8,9,4,3,872,1334160,872,1334160,0.134242,0.0558634,0.00658731,0.19889,1530,0,1530,1530,
0,0.25,2,10,5,3,874,1337220,874,1337220,0.04245,0.0228374,0.00537177,0.0841979,1530,0,1530,1530,
0,0.25,4,11,1,3,874,1337220,874,1337220,0.0476645,0.0205734,0.00501337,0.0798411,1530,0,1530,1530,
0,0.25,6,12,2,3,874,1337220,874,1337220,0.0933874,0.0429254,0.00686926,0.153193,1530,0,1530,1530,
0,0.25,8,13,3,3,874,1337220,874,1337220,0.070111,0.0373721,0.00672515,0.134373,1530,0,1530,1530,
0,0.25,8,14,2,3,872,1334160,872,1334160,0.0701056,0.0372885,0.00686675,0.134486,1530,0,1530,1530,
0,0.25,6,15,1,3,871,1332630,871,1332630,0.100816,0.0473949,0.00700835,0.169581,1530,0,1530,1530,
0,0.25,2,16,4,3,870,1331100,870,1331100,0.0486217,0.0237795,0.00557852,0.0910271,1530,0,1530,1530,
0,0.25,2,17,3,3,871,1332630,871,1332630,0.0592127,0.0297844,0.00672012,0.0963336,1530,0,1530,1530,
0,0.25,8,18,1,3,871,1332630,871,1332630,0.0701677,0.0372429,0.00700458,0.134502,1530,0,1530,1530,
0,0.25,2,19,2,3,871,1332630,871,1332630,0.0593904,0.0298266,0.00686047,0.0966168,1530,0,1530,1530,
0,0.25,2,20,1,3,872,1334160,872,1334160,0.0595481,0.0298042,0.00700207,0.0967505,1530,0,1530,1530,
