time(s),cellId,rnti,lcid,packetSize,delay(s)
1.01324,8,7,3,226,0.00224286
1.01331,8,6,3,226,0.00231428
1.01339,2,5,3,690,0.00238571
1.01339,4,3,3,690,0.00238571
1.01339,6,5,3,690,0.00238571
1.01346,8,5,3,458,0.00245714
1.01353,2,4,3,458,0.00252857
1.0136,6,4,3,690,0.0026
1.0136,8,4,3,458,0.0026
1.01367,4,2,3,923,0.00267142
1.01367,2,3,3,458,0.00267142
1.01374,6,3,3,458,0.00274285
1.01374,8,3,3,458,0.00274285
1.01381,2,2,3,458,0.00281428
1.01389,6,2,3,458,0.00288571
1.01389,8,2,3,458,0.00288571
1.01396,4,1,3,923,0.00295714
1.01396,2,1,3,458,0.00295714
1.01403,6,1,3,458,0.00302856
1.01403,8,1,3,458,0.00302856
1.01424,8,7,3,226,0.00224286
1.01431,8,6,3,226,0.00231428
1.01439,2,5,3,690,0.00238571
1.01439,6,5,3,690,0.00238571
1.01446,4,3,3,923,0.00245714
1.01446,8,5,3,458,0.00245714
1.0146,2,4,3,690,0.0026
1.0146,6,4,3,690,0.0026
1.0146,8,4,3,458,0.0026
1.01474,4,2,3,923,0.00274285
1.01474,2,3,3,458,0.00274285
1.01474,6,3,3,458,0.00274285
1.01474,8,3,3,458,0.00274285
1.01489,2,2,3,458,0.00288571
1.01489,6,2,3,458,0.00288571
1.01489,8,2,3,458,0.00288571
1.01503,4,1,3,923,0.00302856
1.01503,2,1,3,458,0.00302856
1.01503,6,1,3,458,0.00302856
1.01503,8,1,3,458,0.00302856
1.01524,8,7,3,226,0.00224286
1.01531,8,6,3,226,0.00231428
1.01539,2,5,3,690,0.00238571
1.01539,6,5,3,690,0.00238571
1.01546,4,3,3,923,0.00245714
1.01546,8,5,3,458,0.00245714
1.0156,2,4,3,690,0.0026
1.0156,6,4,3,690,0.0026
1.0156,8,4,3,458,0.0026
1.01574,4,2,3,923,0.00274285
1.01574,2,3,3,458,0.00274285
1.01574,6,3,3,458,0.00274285
1.01574,8,3,3,458,0.00274285
1.01589,2,2,3,458,0.00288571
1.01589,6,2,3,458,0.00288571
1.01589,8,2,3,458,0.00288571
1.01603,4,1,3,923,0.00302856
1.01603,2,1,3,458,0.00302856
1.01603,6,1,3,458,0.00302856
1.01603,8,1,3,458,0.00302856
1.01624,8,7,3,226,0.00224286
1.01631,8,6,3,226,0.00231428
1.01639,2,5,3,690,0.00238571
1.01639,6,5,3,690,0.00238571
1.01646,4,3,3,923,0.00245714
1.01646,8,5,3,458,0.00245714
1.0166,2,4,3,690,0.0026
1.0166,6,4,3,690,0.0026
1.0166,8,4,3,458,0.0026
1.01674,4,2,3,923,0.00274285
1.01674,2,3,3,458,0.00274285
1.01674,6,3,3,458,0.00274285
1.01674,8,3,3,458,0.00274285
1.01689,2,2,3,458,0.00288571
1.01689,6,2,3,458,0.00288571
1.01689,8,2,3,458,0.00288571
1.01703,4,1,3,923,0.00302856
1.01703,2,1,3,458,0.00302856
1.01703,6,1,3,458,0.00302856
1.01703,8,1,3,458,0.00302856
1.01724,8,7,3,226,0.00224286
1.01731,8,6,3,226,0.00231428
1.01739,2,5,3,690,0.00238571
1.01739,6,5,3,690,0.00238571
1.01746,4,3,3,923,0.00245714
1.01746,8,5,3,458,0.00245714
1.0176,2,4,3,690,0.0026
1.0176,6,4,3,690,0.0026
1.0176,8,4,3,458,0.0026
1.01774,4,2,3,923,0.00274285
1.01774,2,3,3,458,0.00274285
1.01774,6,3,3,458,0.00274285
1.01774,8,3,3,458,0.00274285
1.01789,2,2,3,458,0.00288571
1.01789,6,2,3,458,0.00288571
1.01789,8,2,3,458,0.00288571
1.01803,4,1,3,923,0.00302856
1.01803,2,1,3,458,0.00302856
1.01803,6,1,3,458,0.00302856
1.01803,8,1,3,458,0.00302856
1.01824,8,7,3,226,0.00224286
1.01831,8,6,3,226,0.00231428
