time(s),cellId,rnti,lcid,packetSize
1.011,2,5,3,690
1.011,2,4,3,458
1.011,2,3,3,458
1.011,2,2,3,458
1.011,2,1,3,458
1.011,4,3,3,690
1.011,4,2,3,923
1.011,4,1,3,923
1.011,6,5,3,690
1.011,6,4,3,690
1.011,6,3,3,458
1.011,6,2,3,458
1.011,6,1,3,458
1.011,8,7,3,226
1.011,8,6,3,226
1.011,8,5,3,458
1.011,8,4,3,458
1.011,8,3,3,458
1.011,8,2,3,458
1.011,8,1,3,458
1.012,2,5,3,690
1.012,2,4,3,690
1.012,2,3,3,458
1.012,2,2,3,458
1.012,2,1,3,458
1.012,4,3,3,923
1.012,4,2,3,923
1.012,4,1,3,923
1.012,6,5,3,690
1.012,6,4,3,690
1.012,6,3,3,458
1.012,6,2,3,458
1.012,6,1,3,458
1.012,8,7,3,226
1.012,8,6,3,226
1.012,8,5,3,458
1.012,8,4,3,458
1.012,8,3,3,458
1.012,8,2,3,458
1.012,8,1,3,458
1.013,2,5,3,690
1.013,2,4,3,690
1.013,2,3,3,458
1.013,2,2,3,458
1.013,2,1,3,458
1.013,4,3,3,923
1.013,4,2,3,923
1.013,4,1,3,923
1.013,6,5,3,690
1.013,6,4,3,690
1.013,6,3,3,458
1.013,6,2,3,458
1.013,6,1,3,458
1.013,8,7,3,226
1.013,8,6,3,226
1.013,8,5,3,458
1.013,8,4,3,458
1.013,8,3,3,458
1.013,8,2,3,458
1.013,8,1,3,458
1.014,2,5,3,690
1.014,2,4,3,690
1.014,2,3,3,458
1.014,2,2,3,458
1.014,2,1,3,458
1.014,4,3,3,923
1.014,4,2,3,923
1.014,4,1,3,923
1.014,6,5,3,690
1.014,6,4,3,690
1.014,6,3,3,458
1.014,6,2,3,458
1.014,6,1,3,458
1.014,8,7,3,226
1.014,8,6,3,226
1.014,8,5,3,458
1.014,8,4,3,458
1.014,8,3,3,458
1.014,8,2,3,458
1.014,8,1,3,458
1.015,2,5,3,690
1.015,2,4,3,690
