Time,direction,frame,subF,slot,1stSym,nSymbol,cellId,bwpId,rnti,tbSize,mcs,rank,rv,SINR(dB),CQI,corrupt,TBler
1.01314,DL,101,3,0,1,1,7,0,7,7,229,0,1,0,5.9361,0,0
1.01321,DL,101,3,0,2,1,7,0,6,6,229,0,1,0,71.6803,0,0
1.01329,DL,101,3,0,1,3,1,0,5,5,693,0,1,0,28.6052,0,0
1.01329,DL,101,3,0,1,3,3,0,3,3,693,0,1,0,43.0604,0,0
1.01329,DL,101,3,0,1,3,5,0,5,5,693,0,1,0,16.604,0,0
1.01336,DL,101,3,0,3,2,7,0,5,5,461,0,1,0,9.6861,0,0
1.01343,DL,101,3,0,4,2,1,0,4,4,461,0,1,0,22.8369,0,0
1.0135,DL,101,3,0,4,3,5,0,4,4,693,0,1,0,73.0698,0,0
1.0135,DL,101,3,0,5,2,7,0,4,4,461,0,1,0,10.819,0,0
1.01357,DL,101,3,0,4,4,3,0,2,2,926,0,1,0,18.7819,0,0
1.01357,DL,101,3,0,6,2,1,0,3,3,461,0,1,0,36.1138,0,0
1.01364,DL,101,3,0,7,2,5,0,3,3,461,0,1,0,2.58646,0,0
1.01364,DL,101,3,0,7,2,7,0,3,3,461,0,1,0,57.7372,0,0
1.01371,DL,101,3,0,8,2,1,0,2,2,461,0,1,0,44.2733,0,0
1.01379,DL,101,3,0,9,2,5,0,2,2,461,0,1,0,15.6476,0,0
1.01379,DL,101,3,0,9,2,7,0,2,2,461,0,1,0,67.5302,0,0
1.01386,DL,101,3,0,8,4,3,0,1,1,926,0,1,0,15.0033,0,0
1.01386,DL,101,3,0,10,2,1,0,1,1,461,0,1,0,31.0477,0,0
1.01393,DL,101,3,0,11,2,5,0,1,1,461,0,1,0,17.4965,0,0
1.01393,DL,101,3,0,11,2,7,0,1,1,461,0,1,0,60.8973,0,0
1.01414,DL,101,4,0,1,1,7,0,7,7,229,0,1,0,5.92727,0,0
1.01421,DL,101,4,0,2,1,7,0,6,6,229,0,1,0,71.6665,0,0
1.01429,DL,101,4,0,1,3,1,0,5,5,693,0,1,0,28.5607,0,0
1.01429,DL,101,4,0,1,3,5,0,5,5,693,0,1,0,16.7049,0,0
1.01436,DL,101,4,0,1,4,3,0,3,3,926,0,1,0,42.4235,0,0
1.01436,DL,101,4,0,3,2,7,0,5,5,461,0,1,0,9.99929,0,0
1.0145,DL,101,4,0,4,3,1,0,4,4,693,0,1,0,21.3798,0,0
1.0145,DL,101,4,0,4,3,5,0,4,4,693,0,1,0,73.0915,0,0
1.0145,DL,101,4,0,5,2,7,0,4,4,461,0,1,0,11.1529,0,0
1.01464,DL,101,4,0,5,4,3,0,2,2,926,0,1,0,18.8153,0,0
1.01464,DL,101,4,0,7,2,1,0,3,3,461,0,1,0,35.2629,0,0
1.01464,DL,101,4,0,7,2,5,0,3,3,461,0,1,0,0.554365,0,0
