Time,Entity,Frame,SF,Slot,nodeId,RNTI,bwpId,MsgType
0.018,ENB,PHY,Rxed,1,7,0,6,0
0.018,ENB,PHY,Rxed,1,7,0,6,0
0.018,ENB,PHY,Rxed,1,7,0,6,0
0.018,ENB,PHY,Rxed,1,7,0,6,0
0.018,ENB,PHY,Rxed,1,7,0,6,0
0.018,ENB,PHY,Rxed,1,7,0,8,0
0.018,ENB,PHY,Rxed,1,7,0,8,0
0.018,ENB,PHY,Rxed,1,7,0,8,0
0.018,ENB,PHY,Rxed,1,7,0,8,0
0.018,ENB,PHY,Rxed,1,7,0,8,0
0.018,ENB,PHY,Rxed,1,7,0,8,0
0.018,ENB,PHY,Rxed,1,7,0,8,0
0.018,ENB,PHY,Rxed,1,7,0,4,0
0.018,ENB,PHY,Rxed,1,7,0,4,0
0.018,ENB,PHY,Rxed,1,7,0,4,0
0.018,ENB,PHY,Rxed,1,7,0,2,0
0.018,ENB,PHY,Rxed,1,7,0,2,0
0.018,ENB,PHY,Rxed,1,7,0,2,0
0.018,ENB,PHY,Rxed,1,7,0,2,0
0.018,ENB,PHY,Rxed,1,7,0,2,0
0.0259286,ENB,PHY,Rxed,2,5,0,6,0
0.0309286,ENB,PHY,Rxed,3,0,0,8,0
0.0349286,ENB,PHY,Rxed,3,4,0,2,0
0.0369286,ENB,PHY,Rxed,3,6,0,6,0
0.0399286,ENB,PHY,Rxed,3,9,0,8,0
0.0529286,ENB,PHY,Rxed,5,2,0,8,0
0.0539286,ENB,PHY,Rxed,5,3,0,4,0
0.0539286,ENB,PHY,Rxed,5,3,0,2,0
0.0619286,ENB,PHY,Rxed,6,1,0,8,0
0.0619286,ENB,PHY,Rxed,6,1,0,2,0
0.0639286,ENB,PHY,Rxed,6,3,0,6,0
0.0639286,ENB,PHY,Rxed,6,3,0,4,0
0.0709286,ENB,PHY,Rxed,7,0,0,4,0
0.0789286,ENB,PHY,Rxed,7,8,0,6,0
0.0829286,ENB,PHY,Rxed,8,2,0,8,0
0.0909286,ENB,PHY,Rxed,9,0,0,8,0
0.0979286,ENB,PHY,Rxed,9,7,0,2,0
0.0999286,ENB,PHY,Rxed,9,9,0,2,0
0.100929,ENB,PHY,Rxed,10,0,0,8,0
0.101929,ENB,PHY,Rxed,10,1,0,6,0
0.105929,ENB,PHY,Rxed,10,5,0,6,0
0.110929,ENB,PHY,Rxed,11,0,0,8,0
0.114929,ENB,PHY,Rxed,11,4,0,2,0
0.116929,ENB,PHY,Rxed,11,6,0,6,0
0.119929,ENB,PHY,Rxed,11,9,0,8,0
0.132929,ENB,PHY,Rxed,13,2,0,8,0
0.133929,ENB,PHY,Rxed,13,3,0,4,0
0.133929,ENB,PHY,Rxed,13,3,0,2,0
0.141929,ENB,PHY,Rxed,14,1,0,8,0
0.141929,ENB,PHY,Rxed,14,1,0,2,0
0.143929,ENB,PHY,Rxed,14,3,0,6,0
0.143929,ENB,PHY,Rxed,14,3,0,4,0
0.150929,ENB,PHY,Rxed,15,0,0,4,0
0.158929,ENB,PHY,Rxed,15,8,0,6,0
0.162929,ENB,PHY,Rxed,16,2,0,8,0
0.170929,ENB,PHY,Rxed,17,0,0,8,0
0.177929,ENB,PHY,Rxed,17,7,0,2,0
0.179929,ENB,PHY,Rxed,17,9,0,2,0
0.180929,ENB,PHY,Rxed,18,0,0,8,0
0.181929,ENB,PHY,Rxed,18,1,0,6,0
0.185929,ENB,PHY,Rxed,18,5,0,6,0
0.190929,ENB,PHY,Rxed,19,0,0,8,0
0.194929,ENB,PHY,Rxed,19,4,0,2,0
0.196929,ENB,PHY,Rxed,19,6,0,6,0
0.199929,ENB,PHY,Rxed,19,9,0,8,0
0.212929,ENB,PHY,Rxed,21,2,0,8,0
0.213929,ENB,PHY,Rxed,21,3,0,4,0
0.213929,ENB,PHY,Rxed,21,3,0,2,0
0.221929,ENB,PHY,Rxed,22,1,0,8,0
0.221929,ENB,PHY,Rxed,22,1,0,2,0
0.223929,ENB,PHY,Rxed,22,3,0,6,0
0.223929,ENB,PHY,Rxed,22,3,0,4,0
0.230929,ENB,PHY,Rxed,23,0,0,4,0
0.238929,ENB,PHY,Rxed,23,8,0,6,0
0.242929,ENB,PHY,Rxed,24,2,0,8,0
0.250929,ENB,PHY,Rxed,25,0,0,8,0
0.257929,ENB,PHY,Rxed,25,7,0,2,0
0.259929,ENB,PHY,Rxed,25,9,0,2,0
0.260929,ENB,PHY,Rxed,26,0,0,8,0
0.261929,ENB,PHY,Rxed,26,1,0,6,0
0.265929,ENB,PHY,Rxed,26,5,0,6,0
0.270929,ENB,PHY,Rxed,27,0,0,8,0
0.274929,ENB,PHY,Rxed,27,4,0,2,0
0.276929,ENB,PHY,Rxed,27,6,0,6,0
0.279929,ENB,PHY,Rxed,27,9,0,8,0
0.292929,ENB,PHY,Rxed,29,2,0,8,0
0.293929,ENB,PHY,Rxed,29,3,0,4,0
0.293929,ENB,PHY,Rxed,29,3,0,2,0
0.301929,ENB,PHY,Rxed,30,1,0,8,0
0.301929,ENB,PHY,Rxed,30,1,0,2,0
0.303929,ENB,PHY,Rxed,30,3,0,6,0
0.303929,ENB,PHY,Rxed,30,3,0,4,0
0.310929,ENB,PHY,Rxed,31,0,0,4,0
0.318929,ENB,PHY,Rxed,31,8,0,6,0
0.322929,ENB,PHY,Rxed,32,2,0,8,0
0.330929,ENB,PHY,Rxed,33,0,0,8,0
0.337929,ENB,PHY,Rxed,33,7,0,2,0
0.339929,ENB,PHY,Rxed,33,9,0,2,0
0.340929,ENB,PHY,Rxed,34,0,0,8,0
0.341929,ENB,PHY,Rxed,34,1,0,6,0
0.345929,ENB,PHY,Rxed,34,5,0,6,0
0.350929,ENB,PHY,Rxed,35,0,0,8,0
0.354929,ENB,PHY,Rxed,35,4,0,2,0
0.356929,ENB,PHY,Rxed,35,6,0,6,0
0.359929,ENB,PHY,Rxed,35,9,0,8,0
0.372929,ENB,PHY,Rxed,37,2,0,8,0
0.373929,ENB,PHY,Rxed,37,3,0,4,0
0.373929,ENB,PHY,Rxed,37,3,0,2,0
0.381929,ENB,PHY,Rxed,38,1,0,8,0
0.381929,ENB,PHY,Rxed,38,1,0,2,0
0.383929,ENB,PHY,Rxed,38,3,0,6,0
0.383929,ENB,PHY,Rxed,38,3,0,4,0
0.390929,ENB,PHY,Rxed,39,0,0,4,0
0.398929,ENB,PHY,Rxed,39,8,0,6,0
0.402929,ENB,PHY,Rxed,40,2,0,8,0
0.410929,ENB,PHY,Rxed,41,0,0,8,0
0.417929,ENB,PHY,Rxed,41,7,0,2,0
0.419929,ENB,PHY,Rxed,41,9,0,2,0
0.420929,ENB,PHY,Rxed,42,0,0,8,0
0.421929,ENB,PHY,Rxed,42,1,0,6,0
0.425929,ENB,PHY,Rxed,42,5,0,6,0
0.430929,ENB,PHY,Rxed,43,0,0,8,0
0.434929,ENB,PHY,Rxed,43,4,0,2,0
0.436929,ENB,PHY,Rxed,43,6,0,6,0
0.439929,ENB,PHY,Rxed,43,9,0,8,0
0.452929,ENB,PHY,Rxed,45,2,0,8,0
0.453929,ENB,PHY,Rxed,45,3,0,4,0
0.453929,ENB,PHY,Rxed,45,3,0,2,0
0.461929,ENB,PHY,Rxed,46,1,0,8,0
0.461929,ENB,PHY,Rxed,46,1,0,2,0
0.463929,ENB,PHY,Rxed,46,3,0,6,0
0.463929,ENB,PHY,Rxed,46,3,0,4,0
0.470929,ENB,PHY,Rxed,47,0,0,4,0
0.478929,ENB,PHY,Rxed,47,8,0,6,0
0.482929,ENB,PHY,Rxed,48,2,0,8,0
0.490929,ENB,PHY,Rxed,49,0,0,8,0
0.497929,ENB,PHY,Rxed,49,7,0,2,0
0.499929,ENB,PHY,Rxed,49,9,0,2,0
0.500929,ENB,PHY,Rxed,50,0,0,8,0
0.501929,ENB,PHY,Rxed,50,1,0,6,0
0.505929,ENB,PHY,Rxed,50,5,0,6,0
0.510929,ENB,PHY,Rxed,51,0,0,8,0
0.514929,ENB,PHY,Rxed,51,4,0,2,0
0.516929,ENB,PHY,Rxed,51,6,0,6,0
0.519929,ENB,PHY,Rxed,51,9,0,8,0
0.532929,ENB,PHY,Rxed,53,2,0,8,0
0.533929,ENB,PHY,Rxed,53,3,0,4,0
0.533929,ENB,PHY,Rxed,53,3,0,2,0
0.541929,ENB,PHY,Rxed,54,1,0,8,0
0.541929,ENB,PHY,Rxed,54,1,0,2,0
0.543929,ENB,PHY,Rxed,54,3,0,6,0
0.543929,ENB,PHY,Rxed,54,3,0,4,0
0.550929,ENB,PHY,Rxed,55,0,0,4,0
0.558929,ENB,PHY,Rxed,55,8,0,6,0
0.562929,ENB,PHY,Rxed,56,2,0,8,0
0.570929,ENB,PHY,Rxed,57,0,0,8,0
0.577929,ENB,PHY,Rxed,57,7,0,2,0
0.579929,ENB,PHY,Rxed,57,9,0,2,0
0.580929,ENB,PHY,Rxed,58,0,0,8,0
0.581929,ENB,PHY,Rxed,58,1,0,6,0
0.585929,ENB,PHY,Rxed,58,5,0,6,0
0.590929,ENB,PHY,Rxed,59,0,0,8,0
0.594929,ENB,PHY,Rxed,59,4,0,2,0
0.596929,ENB,PHY,Rxed,59,6,0,6,0
0.599929,ENB,PHY,Rxed,59,9,0,8,0
0.612929,ENB,PHY,Rxed,61,2,0,8,0
0.613929,ENB,PHY,Rxed,61,3,0,4,0
0.613929,ENB,PHY,Rxed,61,3,0,2,0
0.621929,ENB,PHY,Rxed,62,1,0,8,0
0.621929,ENB,PHY,Rxed,62,1,0,2,0
0.623929,ENB,PHY,Rxed,62,3,0,6,0
0.623929,ENB,PHY,Rxed,62,3,0,4,0
0.630929,ENB,PHY,Rxed,63,0,0,4,0
0.638929,ENB,PHY,Rxed,63,8,0,6,0
0.642929,ENB,PHY,Rxed,64,2,0,8,0
0.650929,ENB,PHY,Rxed,65,0,0,8,0
0.657929,ENB,PHY,Rxed,65,7,0,2,0
0.659929,ENB,PHY,Rxed,65,9,0,2,0
0.660929,ENB,PHY,Rxed,66,0,0,8,0
0.661929,ENB,PHY,Rxed,66,1,0,6,0
0.665929,ENB,PHY,Rxed,66,5,0,6,0
0.670929,ENB,PHY,Rxed,67,0,0,8,0
0.674929,ENB,PHY,Rxed,67,4,0,2,0
0.676929,ENB,PHY,Rxed,67,6,0,6,0
0.679929,ENB,PHY,Rxed,67,9,0,8,0
0.692929,ENB,PHY,Rxed,69,2,0,8,0
0.693929,ENB,PHY,Rxed,69,3,0,4,0
0.693929,ENB,PHY,Rxed,69,3,0,2,0
0.701929,ENB,PHY,Rxed,70,1,0,8,0
0.701929,ENB,PHY,Rxed,70,1,0,2,0
0.703929,ENB,PHY,Rxed,70,3,0,6,0
0.703929,ENB,PHY,Rxed,70,3,0,4,0
0.710929,ENB,PHY,Rxed,71,0,0,4,0
0.718929,ENB,PHY,Rxed,71,8,0,6,0
0.722929,ENB,PHY,Rxed,72,2,0,8,0
0.730929,ENB,PHY,Rxed,73,0,0,8,0
0.737929,ENB,PHY,Rxed,73,7,0,2,0
0.739929,ENB,PHY,Rxed,73,9,0,2,0
0.740929,ENB,PHY,Rxed,74,0,0,8,0
0.741929,ENB,PHY,Rxed,74,1,0,6,0
0.745929,ENB,PHY,Rxed,74,5,0,6,0
0.750929,ENB,PHY,Rxed,75,0,0,8,0
0.754929,ENB,PHY,Rxed,75,4,0,2,0
0.756929,ENB,PHY,Rxed,75,6,0,6,0
0.759929,ENB,PHY,Rxed,75,9,0,8,0
0.772929,ENB,PHY,Rxed,77,2,0,8,0
0.773929,ENB,PHY,Rxed,77,3,0,4,0
0.773929,ENB,PHY,Rxed,77,3,0,2,0
0.781929,ENB,PHY,Rxed,78,1,0,8,0
0.781929,ENB,PHY,Rxed,78,1,0,2,0
0.783929,ENB,PHY,Rxed,78,3,0,6,0
0.783929,ENB,PHY,Rxed,78,3,0,4,0
0.790929,ENB,PHY,Rxed,79,0,0,4,0
0.798929,ENB,PHY,Rxed,79,8,0,6,0
0.802929,ENB,PHY,Rxed,80,2,0,8,0
0.810929,ENB,PHY,Rxed,81,0,0,8,0
0.817929,ENB,PHY,Rxed,81,7,0,2,0
0.819929,ENB,PHY,Rxed,81,9,0,2,0
0.820929,ENB,PHY,Rxed,82,0,0,8,0
0.821929,ENB,PHY,Rxed,82,1,0,6,0
0.825929,ENB,PHY,Rxed,82,5,0,6,0
0.830929,ENB,PHY,Rxed,83,0,0,8,0
0.834929,ENB,PHY,Rxed,83,4,0,2,0
0.836929,ENB,PHY,Rxed,83,6,0,6,0
0.839929,ENB,PHY,Rxed,83,9,0,8,0
0.852929,ENB,PHY,Rxed,85,2,0,8,0
0.853929,ENB,PHY,Rxed,85,3,0,4,0
0.853929,ENB,PHY,Rxed,85,3,0,2,0
0.861929,ENB,PHY,Rxed,86,1,0,8,0
0.861929,ENB,PHY,Rxed,86,1,0,2,0
0.863929,ENB,PHY,Rxed,86,3,0,6,0
0.863929,ENB,PHY,Rxed,86,3,0,4,0
0.870929,ENB,PHY,Rxed,87,0,0,4,0
0.878929,ENB,PHY,Rxed,87,8,0,6,0
0.882929,ENB,PHY,Rxed,88,2,0,8,0
0.890929,ENB,PHY,Rxed,89,0,0,8,0
0.897929,ENB,PHY,Rxed,89,7,0,2,0
0.899929,ENB,PHY,Rxed,89,9,0,2,0
0.900929,ENB,PHY,Rxed,90,0,0,8,0
0.901929,ENB,PHY,Rxed,90,1,0,6,0
0.905929,ENB,PHY,Rxed,90,5,0,6,0
0.910929,ENB,PHY,Rxed,91,0,0,8,0
0.914929,ENB,PHY,Rxed,91,4,0,2,0
0.916929,ENB,PHY,Rxed,91,6,0,6,0
0.919929,ENB,PHY,Rxed,91,9,0,8,0
0.932929,ENB,PHY,Rxed,93,2,0,8,0
0.933929,ENB,PHY,Rxed,93,3,0,4,0
0.933929,ENB,PHY,Rxed,93,3,0,2,0
0.941929,ENB,PHY,Rxed,94,1,0,8,0
0.941929,ENB,PHY,Rxed,94,1,0,2,0
0.943929,ENB,PHY,Rxed,94,3,0,6,0
0.943929,ENB,PHY,Rxed,94,3,0,4,0
0.950929,ENB,PHY,Rxed,95,0,0,4,0
0.958929,ENB,PHY,Rxed,95,8,0,6,0
0.962929,ENB,PHY,Rxed,96,2,0,8,0
0.970929,ENB,PHY,Rxed,97,0,0,8,0
0.977929,ENB,PHY,Rxed,97,7,0,2,0
0.979929,ENB,PHY,Rxed,97,9,0,2,0
0.980929,ENB,PHY,Rxed,98,0,0,8,0
0.981929,ENB,PHY,Rxed,98,1,0,6,0
0.985929,ENB,PHY,Rxed,98,5,0,6,0
0.990929,ENB,PHY,Rxed,99,0,0,8,0
0.994929,ENB,PHY,Rxed,99,4,0,2,0
0.996929,ENB,PHY,Rxed,99,6,0,6,0
0.999929,ENB,PHY,Rxed,99,9,0,8,0
1.01293,ENB,PHY,Rxed,101,2,0,8,0
1.01393,ENB,PHY,Rxed,101,3,0,4,0
1.01393,ENB,PHY,Rxed,101,3,0,2,0
1.016,ENB,PHY,Rxed,101,5,0,8,7
1.016,ENB,PHY,Rxed,101,5,0,8,6
1.016,ENB,PHY,Rxed,101,5,0,8,5
1.016,ENB,PHY,Rxed,101,5,0,8,4
1.016,ENB,PHY,Rxed,101,5,0,8,3
1.016,ENB,PHY,Rxed,101,5,0,8,2
1.016,ENB,PHY,Rxed,101,5,0,8,1
1.016,ENB,PHY,Rxed,101,5,0,6,5
1.016,ENB,PHY,Rxed,101,5,0,6,4
1.016,ENB,PHY,Rxed,101,5,0,6,3
1.016,ENB,PHY,Rxed,101,5,0,6,2
1.016,ENB,PHY,Rxed,101,5,0,6,1
1.016,ENB,PHY,Rxed,101,5,0,2,5
1.016,ENB,PHY,Rxed,101,5,0,2,4
1.016,ENB,PHY,Rxed,101,5,0,2,3
1.016,ENB,PHY,Rxed,101,5,0,2,2
1.016,ENB,PHY,Rxed,101,5,0,2,1
1.016,ENB,PHY,Rxed,101,5,0,4,3
1.016,ENB,PHY,Rxed,101,5,0,4,2
1.016,ENB,PHY,Rxed,101,5,0,4,1
1.017,ENB,PHY,Rxed,101,6,0,8,7
1.017,ENB,PHY,Rxed,101,6,0,8,7
1.017,ENB,PHY,Rxed,101,6,0,8,6
1.017,ENB,PHY,Rxed,101,6,0,8,6
1.017,ENB,PHY,Rxed,101,6,0,8,5
1.017,ENB,PHY,Rxed,101,6,0,8,5
1.017,ENB,PHY,Rxed,101,6,0,8,4
1.017,ENB,PHY,Rxed,101,6,0,8,4
1.017,ENB,PHY,Rxed,101,6,0,8,3
1.017,ENB,PHY,Rxed,101,6,0,8,3
1.017,ENB,PHY,Rxed,101,6,0,8,2
1.017,ENB,PHY,Rxed,101,6,0,8,2
1.017,ENB,PHY,Rxed,101,6,0,8,1
1.017,ENB,PHY,Rxed,101,6,0,8,1
1.017,ENB,PHY,Rxed,101,6,0,6,5
1.017,ENB,PHY,Rxed,101,6,0,6,5
1.017,ENB,PHY,Rxed,101,6,0,6,4
1.017,ENB,PHY,Rxed,101,6,0,6,4
1.017,ENB,PHY,Rxed,101,6,0,6,3
1.017,ENB,PHY,Rxed,101,6,0,6,3
1.017,ENB,PHY,Rxed,101,6,0,6,2
1.017,ENB,PHY,Rxed,101,6,0,6,2
1.017,ENB,PHY,Rxed,101,6,0,6,1
1.017,ENB,PHY,Rxed,101,6,0,6,1
1.017,ENB,PHY,Rxed,101,6,0,2,5
1.017,ENB,PHY,Rxed,101,6,0,2,5
1.017,ENB,PHY,Rxed,101,6,0,2,4
1.017,ENB,PHY,Rxed,101,6,0,2,4
1.017,ENB,PHY,Rxed,101,6,0,2,3
1.017,ENB,PHY,Rxed,101,6,0,2,3
1.017,ENB,PHY,Rxed,101,6,0,2,2
1.017,ENB,PHY,Rxed,101,6,0,2,2
1.017,ENB,PHY,Rxed,101,6,0,2,1
1.017,ENB,PHY,Rxed,101,6,0,2,1
1.017,ENB,PHY,Rxed,101,6,0,4,3
1.017,ENB,PHY,Rxed,101,6,0,4,3
1.017,ENB,PHY,Rxed,101,6,0,4,2
1.017,ENB,PHY,Rxed,101,6,0,4,2
1.017,ENB,PHY,Rxed,101,6,0,4,1
1.017,ENB,PHY,Rxed,101,6,0,4,1
1.018,ENB,PHY,Rxed,101,7,0,8,7
1.018,ENB,PHY,Rxed,101,7,0,8,7
1.018,ENB,PHY,Rxed,101,7,0,8,6
1.018,ENB,PHY,Rxed,101,7,0,8,6
1.018,ENB,PHY,Rxed,101,7,0,8,5
1.018,ENB,PHY,Rxed,101,7,0,8,5
1.018,ENB,PHY,Rxed,101,7,0,8,4
1.018,ENB,PHY,Rxed,101,7,0,8,4
1.018,ENB,PHY,Rxed,101,7,0,8,3
1.018,ENB,PHY,Rxed,101,7,0,8,3
1.018,ENB,PHY,Rxed,101,7,0,8,2
1.018,ENB,PHY,Rxed,101,7,0,8,2
1.018,ENB,PHY,Rxed,101,7,0,8,1
1.018,ENB,PHY,Rxed,101,7,0,8,1
1.018,ENB,PHY,Rxed,101,7,0,6,5
1.018,ENB,PHY,Rxed,101,7,0,6,5
1.018,ENB,PHY,Rxed,101,7,0,6,4
1.018,ENB,PHY,Rxed,101,7,0,6,4
1.018,ENB,PHY,Rxed,101,7,0,6,3
1.018,ENB,PHY,Rxed,101,7,0,6,3
1.018,ENB,PHY,Rxed,101,7,0,6,2
1.018,ENB,PHY,Rxed,101,7,0,6,2
1.018,ENB,PHY,Rxed,101,7,0,6,1
1.018,ENB,PHY,Rxed,101,7,0,6,1
1.018,ENB,PHY,Rxed,101,7,0,2,5
1.018,ENB,PHY,Rxed,101,7,0,2,5
1.018,ENB,PHY,Rxed,101,7,0,2,4
1.018,ENB,PHY,Rxed,101,7,0,2,4
1.018,ENB,PHY,Rxed,101,7,0,2,3
1.018,ENB,PHY,Rxed,101,7,0,2,3
1.018,ENB,PHY,Rxed,101,7,0,2,2
1.018,ENB,PHY,Rxed,101,7,0,2,2
1.018,ENB,PHY,Rxed,101,7,0,2,1
1.018,ENB,PHY,Rxed,101,7,0,2,1
1.018,ENB,PHY,Rxed,101,7,0,4,3
1.018,ENB,PHY,Rxed,101,7,0,4,3
1.018,ENB,PHY,Rxed,101,7,0,4,2
1.018,ENB,PHY,Rxed,101,7,0,4,2
1.018,ENB,PHY,Rxed,101,7,0,4,1
1.018,ENB,PHY,Rxed,101,7,0,4,1
1.019,ENB,PHY,Rxed,101,8,0,8,7
1.019,ENB,PHY,Rxed,101,8,0,8,7
1.019,ENB,PHY,Rxed,101,8,0,8,6
1.019,ENB,PHY,Rxed,101,8,0,8,6
1.019,ENB,PHY,Rxed,101,8,0,8,5
1.019,ENB,PHY,Rxed,101,8,0,8,5
1.019,ENB,PHY,Rxed,101,8,0,8,4
1.019,ENB,PHY,Rxed,101,8,0,8,4
1.019,ENB,PHY,Rxed,101,8,0,8,3
1.019,ENB,PHY,Rxed,101,8,0,8,3
1.019,ENB,PHY,Rxed,101,8,0,8,2
1.019,ENB,PHY,Rxed,101,8,0,8,2
1.019,ENB,PHY,Rxed,101,8,0,8,1
1.019,ENB,PHY,Rxed,101,8,0,8,1
1.019,ENB,PHY,Rxed,101,8,0,6,5
1.019,ENB,PHY,Rxed,101,8,0,6,5
1.019,ENB,PHY,Rxed,101,8,0,6,4
1.019,ENB,PHY,Rxed,101,8,0,6,4
1.019,ENB,PHY,Rxed,101,8,0,6,3
1.019,ENB,PHY,Rxed,101,8,0,6,3
1.019,ENB,PHY,Rxed,101,8,0,6,2
1.019,ENB,PHY,Rxed,101,8,0,6,2
1.019,ENB,PHY,Rxed,101,8,0,6,1
1.019,ENB,PHY,Rxed,101,8,0,6,1
1.019,ENB,PHY,Rxed,101,8,0,2,5
1.019,ENB,PHY,Rxed,101,8,0,2,5
1.019,ENB,PHY,Rxed,101,8,0,2,4
1.019,ENB,PHY,Rxed,101,8,0,2,4
1.019,ENB,PHY,Rxed,101,8,0,2,3
1.019,ENB,PHY,Rxed,101,8,0,2,3
1.019,ENB,PHY,Rxed,101,8,0,2,2
1.019,ENB,PHY,Rxed,101,8,0,2,2
1.019,ENB,PHY,Rxed,101,8,0,2,1
1.019,ENB,PHY,Rxed,101,8,0,2,1
1.019,ENB,PHY,Rxed,101,8,0,4,3
1.019,ENB,PHY,Rxed,101,8,0,4,3
1.019,ENB,PHY,Rxed,101,8,0,4,2
1.019,ENB,PHY,Rxed,101,8,0,4,2
1.019,ENB,PHY,Rxed,101,8,0,4,1
1.019,ENB,PHY,Rxed,101,8,0,4,1
1.02,ENB,PHY,Rxed,101,9,0,8,7
1.02,ENB,PHY,Rxed,101,9,0,8,7
1.02,ENB,PHY,Rxed,101,9,0,8,6
1.02,ENB,PHY,Rxed,101,9,0,8,6
1.02,ENB,PHY,Rxed,101,9,0,8,5
1.02,ENB,PHY,Rxed,101,9,0,8,5
1.02,ENB,PHY,Rxed,101,9,0,8,4
1.02,ENB,PHY,Rxed,101,9,0,8,4
1.02,ENB,PHY,Rxed,101,9,0,8,3
1.02,ENB,PHY,Rxed,101,9,0,8,3
1.02,ENB,PHY,Rxed,101,9,0,8,2
1.02,ENB,PHY,Rxed,101,9,0,8,2
1.02,ENB,PHY,Rxed,101,9,0,8,1
1.02,ENB,PHY,Rxed,101,9,0,8,1
1.02,ENB,PHY,Rxed,101,9,0,6,5
1.02,ENB,PHY,Rxed,101,9,0,6,5
1.02,ENB,PHY,Rxed,101,9,0,6,4
1.02,ENB,PHY,Rxed,101,9,0,6,4
1.02,ENB,PHY,Rxed,101,9,0,6,3
1.02,ENB,PHY,Rxed,101,9,0,6,3
1.02,ENB,PHY,Rxed,101,9,0,6,2
1.02,ENB,PHY,Rxed,101,9,0,6,2
1.02,ENB,PHY,Rxed,101,9,0,6,1
1.02,ENB,PHY,Rxed,101,9,0,6,1
1.02,ENB,PHY,Rxed,101,9,0,2,5
1.02,ENB,PHY,Rxed,101,9,0,2,5
1.02,ENB,PHY,Rxed,101,9,0,2,4
1.02,ENB,PHY,Rxed,101,9,0,2,4
1.02,ENB,PHY,Rxed,101,9,0,2,3
1.02,ENB,PHY,Rxed,101,9,0,2,3
1.02,ENB,PHY,Rxed,101,9,0,2,2
1.02,ENB,PHY,Rxed,101,9,0,2,2
1.02,ENB,PHY,Rxed,101,9,0,2,1
1.02,ENB,PHY,Rxed,101,9,0,2,1
1.02,ENB,PHY,Rxed,101,9,0,4,3
1.02,ENB,PHY,Rxed,101,9,0,4,3
1.02,ENB,PHY,Rxed,101,9,0,4,2
1.02,ENB,PHY,Rxed,101,9,0,4,2
1.02,ENB,PHY,Rxed,101,9,0,4,1
1.02,ENB,PHY,Rxed,101,9,0,4,1
1.021,ENB,PHY,Rxed,102,0,0,8,7
1.021,ENB,PHY,Rxed,102,0,0,8,7
1.021,ENB,PHY,Rxed,102,0,0,8,6
1.021,ENB,PHY,Rxed,102,0,0,8,6
1.021,ENB,PHY,Rxed,102,0,0,8,5
1.021,ENB,PHY,Rxed,102,0,0,8,5
1.021,ENB,PHY,Rxed,102,0,0,8,4
1.021,ENB,PHY,Rxed,102,0,0,8,4
1.021,ENB,PHY,Rxed,102,0,0,8,3
1.021,ENB,PHY,Rxed,102,0,0,8,3
1.021,ENB,PHY,Rxed,102,0,0,8,2
1.021,ENB,PHY,Rxed,102,0,0,8,2
1.021,ENB,PHY,Rxed,102,0,0,8,1
1.021,ENB,PHY,Rxed,102,0,0,8,1
1.021,ENB,PHY,Rxed,102,0,0,6,5
1.021,ENB,PHY,Rxed,102,0,0,6,5
1.021,ENB,PHY,Rxed,102,0,0,6,4
1.021,ENB,PHY,Rxed,102,0,0,6,4
1.021,ENB,PHY,Rxed,102,0,0,6,3
1.021,ENB,PHY,Rxed,102,0,0,6,3
1.021,ENB,PHY,Rxed,102,0,0,6,2
1.021,ENB,PHY,Rxed,102,0,0,6,2
1.021,ENB,PHY,Rxed,102,0,0,6,1
