Time(sec),CellId,BwpId,IMSI,pathLoss(dB)
0.0179286,5,0,1,-116.056
0.0179286,5,0,2,-75.8698
0.0179286,7,0,3,-121.138
0.0179286,7,0,4,-82.138
0.0179286,3,0,5,-86.6813
0.0179286,7,0,6,-113.05
0.0179286,3,0,7,-112.382
0.0179286,5,0,8,-125.601
0.0179286,7,0,9,-118.709
0.0179286,1,0,10,-113.566
0.0179286,3,0,11,-110.067
0.0179286,5,0,12,-112.883
0.0179286,7,0,13,-88.9266
0.0179286,7,0,14,-85.6252
0.0179286,5,0,15,-115.255
0.0179286,1,0,16,-110.945
0.0179286,1,0,17,-112.522
0.0179286,7,0,18,-85.8529
0.0179286,1,0,19,-101.411
0.0179286,1,0,20,-110.6
0.0258571,5,0,15,-115.113
0.0308571,7,0,4,-82.0748
0.0348571,1,0,19,-101.397
0.0368571,5,0,8,-125.726
0.0398571,7,0,9,-118.828
0.0528571,7,0,13,-89.1924
0.0538571,3,0,5,-86.8962
0.0538571,1,0,16,-111.024
0.0618571,7,0,6,-112.748
0.0618571,1,0,20,-110.173
0.0638571,5,0,2,-75.6574
0.0638571,3,0,11,-110.067
0.0708571,3,0,7,-112.62
0.0788571,5,0,1,-115.816
0.0828571,7,0,14,-85.6158
0.0908571,7,0,3,-120.869
0.0978571,1,0,17,-112.449
0.0998571,1,0,10,-113.155
0.100857,7,0,18,-86.0273
0.101857,5,0,12,-112.052
0.105857,5,0,15,-115.405
0.110857,7,0,4,-82.1968
0.114857,1,0,19,-101.967
0.116857,5,0,8,-124.209
0.119857,7,0,9,-118.256
0.132857,7,0,13,-89.1744
0.133857,3,0,5,-86.7956
0.133857,1,0,16,-111.054
0.141857,7,0,6,-112.616
0.141857,1,0,20,-110.824
0.143857,5,0,2,-76.5308
0.143857,3,0,11,-109.312
0.150857,3,0,7,-114.052
0.158857,5,0,1,-115.696
0.162857,7,0,14,-84.8296
0.170857,7,0,3,-120.173
0.177857,1,0,17,-111.364
0.179857,1,0,10,-112.911
0.180857,7,0,18,-86.5013
0.181857,5,0,12,-111.704
0.185857,5,0,15,-116.411
0.190857,7,0,4,-82.3118
0.194857,1,0,19,-101.775
0.196857,5,0,8,-124.025
0.199857,7,0,9,-118.294
0.212857,7,0,13,-89.3097
0.213857,3,0,5,-86.3965
0.213857,1,0,16,-111.17
0.221857,7,0,6,-112.406
0.221857,1,0,20,-110.753
0.223857,5,0,2,-77.0009
0.223857,3,0,11,-108.874
0.230857,3,0,7,-114.183
0.238857,5,0,1,-114.313
0.242857,7,0,14,-84.1717
0.250857,7,0,3,-120.454
0.257857,1,0,17,-111.844
0.259857,1,0,10,-112.495
0.260857,7,0,18,-86.4337
0.261857,5,0,12,-111.016
0.265857,5,0,15,-116.581
0.270857,7,0,4,-82.5403
0.274857,1,0,19,-101.158
0.276857,5,0,8,-124.558
0.279857,7,0,9,-118.07
0.292857,7,0,13,-89.2842
0.293857,3,0,5,-86.5035
0.293857,1,0,16,-111.048
0.301857,7,0,6,-111.963
0.301857,1,0,20,-110.616
0.303857,5,0,2,-77.2328
0.303857,3,0,11,-107.871
0.310857,3,0,7,-114.725
0.318857,5,0,1,-114.251
0.322857,7,0,14,-84.4602
0.330857,7,0,3,-119.994
0.337857,1,0,17,-112.05
0.339857,1,0,10,-113.308
0.340857,7,0,18,-86.1045
0.341857,5,0,12,-110.625
0.345857,5,0,15,-115.956
0.350857,7,0,4,-82.5356
0.354857,1,0,19,-100.655
0.356857,5,0,8,-124.544
0.359857,7,0,9,-118.223
0.372857,7,0,13,-89.4654
0.373857,3,0,5,-86.6856
0.373857,1,0,16,-110.782
0.381857,7,0,6,-112.294
0.381857,1,0,20,-111.388
0.383857,5,0,2,-77.3045
0.383857,3,0,11,-108.791
0.390857,3,0,7,-114.569
0.398857,5,0,1,-113.984
0.402857,7,0,14,-83.8905
0.410857,7,0,3,-120.479
0.417857,1,0,17,-111.319
0.419857,1,0,10,-113.38
0.420857,7,0,18,-85.5793
0.421857,5,0,12,-110.01
0.425857,5,0,15,-115.764
0.430857,7,0,4,-82.8582
0.434857,1,0,19,-100.882
0.436857,5,0,8,-124.581
0.439857,7,0,9,-118.239
0.452857,7,0,13,-89.568
0.453857,3,0,5,-86.0826
0.453857,1,0,16,-110.591
0.461857,7,0,6,-112.396
0.461857,1,0,20,-112.183
0.463857,5,0,2,-77.0881
0.463857,3,0,11,-109.113
0.470857,3,0,7,-115.279
0.478857,5,0,1,-113.357
0.482857,7,0,14,-83.8164
0.490857,7,0,3,-120.199
0.497857,1,0,17,-112.159
0.499857,1,0,10,-112.915
0.500857,7,0,18,-85.4233
0.501857,5,0,12,-109.291
0.505857,5,0,15,-114.715
0.510857,7,0,4,-82.6705
0.514857,1,0,19,-100.498
0.516857,5,0,8,-124.644
0.519857,7,0,9,-118.147
0.532857,7,0,13,-89.4695
0.533857,3,0,5,-86.9156
0.533857,1,0,16,-109.592
0.541857,7,0,6,-113.275
0.541857,1,0,20,-112.318
0.543857,5,0,2,-76.8409
0.543857,3,0,11,-109.677
0.550857,3,0,7,-114.359
0.558857,5,0,1,-113.47
0.562857,7,0,14,-83.4259
0.570857,7,0,3,-120.836
0.577857,1,0,17,-112.126
0.579857,1,0,10,-113.044
0.580857,7,0,18,-85.9559
0.581857,5,0,12,-108.394
0.585857,5,0,15,-115.029
0.590857,7,0,4,-82.8403
0.594857,1,0,19,-101.107
0.596857,5,0,8,-125.491
0.599857,7,0,9,-118.369
0.612857,7,0,13,-89.5645
0.613857,3,0,5,-86.9078
0.613857,1,0,16,-109.446
0.621857,7,0,6,-112.923
0.621857,1,0,20,-110.814
0.623857,5,0,2,-77.4877
0.623857,3,0,11,-109.826
0.630857,3,0,7,-114.102
0.638857,5,0,1,-113.488
0.642857,7,0,14,-83.0541
0.650857,7,0,3,-120.143
0.657857,1,0,17,-111.62
0.659857,1,0,10,-112.892
0.660857,7,0,18,-85.5207
0.661857,5,0,12,-108.389
0.665857,5,0,15,-114.639
0.670857,7,0,4,-82.5767
0.674857,1,0,19,-101.055
0.676857,5,0,8,-125.303
0.679857,7,0,9,-118.041
0.692857,7,0,13,-89.417
0.693857,3,0,5,-87.7052
0.693857,1,0,16,-109.141
0.701857,7,0,6,-112.893
0.701857,1,0,20,-110.623
0.703857,5,0,2,-77.8185
0.703857,3,0,11,-109.558
0.710857,3,0,7,-114.013
0.718857,5,0,1,-112.806
0.722857,7,0,14,-83.0715
0.730857,7,0,3,-119.95
0.737857,1,0,17,-111.441
0.739857,1,0,10,-112.874
0.740857,7,0,18,-85.492
0.741857,5,0,12,-109.603
0.745857,5,0,15,-114.346
0.750857,7,0,4,-82.5025
0.754857,1,0,19,-101.03
0.756857,5,0,8,-126.256
0.759857,7,0,9,-118.245
0.772857,7,0,13,-89.5641
0.773857,3,0,5,-87.699
0.773857,1,0,16,-109.475
0.781857,7,0,6,-113.266
0.781857,1,0,20,-108.971
0.783857,5,0,2,-77.7146
0.783857,3,0,11,-110.209
0.790857,3,0,7,-113.335
0.798857,5,0,1,-112.943
0.802857,7,0,14,-83.0856
0.810857,7,0,3,-119.74
0.817857,1,0,17,-110.928
0.819857,1,0,10,-112.899
0.820857,7,0,18,-85.1939
0.821857,5,0,12,-108.857
0.825857,5,0,15,-113.557
0.830857,7,0,4,-82.4446
0.834857,1,0,19,-101.262
0.836857,5,0,8,-126.623
0.839857,7,0,9,-117.376
0.852857,7,0,13,-89.145
0.853857,3,0,5,-87.2612
0.853857,1,0,16,-109.971
0.861857,7,0,6,-112.892
0.861857,1,0,20,-108.541
0.863857,5,0,2,-77.3573
0.863857,3,0,11,-110.361
0.870857,3,0,7,-113.424
0.878857,5,0,1,-112.947
0.882857,7,0,14,-83.2805
0.890857,7,0,3,-119.977
0.897857,1,0,17,-110.579
0.899857,1,0,10,-112.615
0.900857,7,0,18,-85.0334
0.901857,5,0,12,-109.794
0.905857,5,0,15,-113.871
0.910857,7,0,4,-82.1321
0.914857,1,0,19,-100.414
0.916857,5,0,8,-126.892
0.919857,7,0,9,-117.148
0.932857,7,0,13,-89.1901
0.933857,3,0,5,-87.4124
0.933857,1,0,16,-109.718
0.941857,7,0,6,-113.55
0.941857,1,0,20,-108.769
0.943857,5,0,2,-76.8159
0.943857,3,0,11,-111.142
0.950857,3,0,7,-113.715
0.958857,5,0,1,-112.906
0.962857,7,0,14,-83.25
0.970857,7,0,3,-120.22
0.977857,1,0,17,-110.16
0.979857,1,0,10,-112.307
0.980857,7,0,18,-84.9326
0.981857,5,0,12,-109.731
0.985857,5,0,15,-114.067
0.990857,7,0,4,-81.3883
0.994857,1,0,19,-100.486
0.996857,5,0,8,-127.032
0.999857,7,0,9,-116.883
1.01286,7,0,13,-89.1259
1.01386,3,0,5,-87.0608
1.01386,1,0,16,-110.649
1.01593,7,0,3,-120.143
1.01593,7,0,4,-81.6314
1.01593,5,0,1,-112.358
1.01593,1,0,10,-111.888
1.01593,3,0,5,-87.0502
1.01593,7,0,6,-113.456
1.01593,5,0,2,-77.0103
1.01593,1,0,16,-110.71
1.01593,7,0,9,-116.654
1.01593,3,0,7,-113.492
1.01593,1,0,17,-110.413
1.01593,5,0,8,-126.856
1.01593,7,0,13,-89.1611
1.01593,1,0,19,-100.679
1.01593,7,0,14,-84.1296
1.01593,5,0,12,-109.117
1.01593,3,0,11,-111.564
1.01593,1,0,20,-107.812
1.01593,7,0,18,-85.1147
1.01593,5,0,15,-113.704
1.01693,7,0,3,-120.147
1.01693,7,0,4,-81.5668
1.01693,5,0,1,-112.305
1.01693,1,0,10,-111.833
1.01693,3,0,5,-87.0366
1.01693,7,0,6,-113.479
1.01693,5,0,2,-76.9819
1.01693,1,0,16,-110.787
1.01693,7,0,9,-116.684
1.01693,3,0,7,-113.491
1.01693,1,0,17,-110.369
1.01693,5,0,8,-126.903
1.01693,7,0,13,-89.161
1.01693,1,0,19,-100.728
1.01693,7,0,14,-84.1222
1.01693,5,0,12,-109.187
1.01693,3,0,11,-111.617
1.01693,1,0,20,-107.806
1.01693,7,0,18,-85.1133
1.01693,5,0,15,-113.699
1.01793,7,0,3,-120.212
1.01793,7,0,4,-81.5885
1.01793,5,0,1,-112.335
1.01793,1,0,10,-111.805
1.01793,3,0,5,-87.0417
1.01793,7,0,6,-113.534
1.01793,5,0,2,-76.9588
1.01793,1,0,16,-110.821
1.01793,7,0,9,-116.675
1.01793,3,0,7,-113.461
1.01793,1,0,17,-110.382
1.01793,5,0,8,-126.94
1.01793,7,0,13,-89.2206
1.01793,1,0,19,-100.828
1.01793,7,0,14,-84.1519
1.01793,5,0,12,-109.353
1.01793,3,0,11,-111.561
1.01793,1,0,20,-107.869
1.01793,7,0,18,-85.2081
1.01793,5,0,15,-113.606
1.01893,7,0,3,-120.159
1.01893,7,0,4,-81.6077
1.01893,5,0,1,-112.35
1.01893,1,0,10,-111.802
1.01893,3,0,5,-87.0418
1.01893,7,0,6,-113.614
1.01893,5,0,2,-77.019
1.01893,1,0,16,-110.839
1.01893,7,0,9,-116.665
1.01893,3,0,7,-113.543
1.01893,1,0,17,-110.436
1.01893,5,0,8,-126.879
1.01893,7,0,13,-89.2158
1.01893,1,0,19,-100.832
1.01893,7,0,14,-84.1597
1.01893,5,0,12,-109.288
1.01893,3,0,11,-111.5
1.01893,1,0,20,-107.847
1.01893,7,0,18,-85.1659
1.01893,5,0,15,-113.52
1.01993,7,0,3,-120.197
1.01993,7,0,4,-81.6329
1.01993,5,0,1,-112.307
1.01993,1,0,10,-111.752
1.01993,3,0,5,-87.0235
1.01993,7,0,6,-113.633
1.01993,5,0,2,-76.9895
1.01993,1,0,16,-110.959
1.01993,7,0,9,-116.719
1.01993,3,0,7,-113.567
1.01993,1,0,17,-110.39
1.01993,5,0,8,-126.89
1.01993,7,0,13,-89.1498
1.01993,1,0,19,-100.749
1.01993,7,0,14,-84.1263
1.01993,5,0,12,-109.25
1.01993,3,0,11,-111.436
1.01993,1,0,20,-107.867
1.01993,7,0,18,-85.159
1.01993,5,0,15,-113.538
1.02093,7,0,3,-120.163
1.02093,7,0,4,-81.6341
1.02093,5,0,1,-112.266
1.02093,1,0,10,-111.714
1.02093,3,0,5,-86.9211
1.02093,7,0,6,-113.67
1.02093,5,0,2,-77.0199
1.02093,1,0,16,-110.944
1.02093,7,0,9,-116.719
1.02093,3,0,7,-113.547
1.02093,1,0,17,-110.345
1.02093,5,0,8,-126.895
1.02093,7,0,13,-89.1681
1.02093,1,0,19,-100.763
1.02093,7,0,14,-84.1055
1.02093,5,0,12,-109.229
1.02093,3,0,11,-111.467
1.02093,1,0,20,-107.864
1.02093,7,0,18,-85.242
1.02093,5,0,15,-113.485
1.02186,7,0,6,-113.626
1.02186,1,0,20,-107.882
1.02193,7,0,3,-120.245
1.02193,7,0,4,-81.6048
1.02193,5,0,1,-112.237
1.02193,1,0,10,-111.664
1.02193,3,0,5,-86.9573
1.02193,1,0,16,-110.988
1.02193,7,0,9,-116.728
1.02193,5,0,2,-77.0627
1.02193,1,0,17,-110.359
1.02193,7,0,13,-89.1819
1.02193,3,0,7,-113.554
1.02193,5,0,8,-126.859
1.02193,1,0,19,-100.658
1.02193,7,0,14,-84.1658
1.02193,5,0,12,-109.344
1.02193,7,0,18,-85.2025
1.02193,3,0,11,-111.384
1.02193,5,0,15,-113.509
1.02193,7,0,6,-113.658
1.02193,1,0,20,-107.9
1.02293,7,0,3,-120.231
1.02293,7,0,4,-81.6099
1.02293,5,0,1,-112.186
1.02293,1,0,10,-111.654
1.02293,3,0,5,-86.8969
1.02293,7,0,6,-113.707
1.02293,1,0,16,-111.024
1.02293,5,0,2,-77.0954
1.02293,7,0,9,-116.833
1.02293,3,0,7,-113.585
1.02293,1,0,17,-110.328
1.02293,7,0,13,-89.2195
1.02293,5,0,8,-126.917
1.02293,1,0,19,-100.736
1.02293,7,0,14,-84.1525
1.02293,5,0,12,-109.348
1.02293,3,0,11,-111.47
1.02293,7,0,18,-85.2348
1.02293,5,0,15,-113.436
1.02293,1,0,20,-107.901
1.02386,5,0,2,-77.1504
1.02386,3,0,11,-111.471
1.02393,7,0,3,-120.263
1.02393,7,0,4,-81.6203
1.02393,5,0,1,-112.247
1.02393,1,0,10,-111.562
1.02393,3,0,5,-86.8919
1.02393,7,0,6,-113.706
1.02393,1,0,16,-110.972
1.02393,7,0,9,-116.835
1.02393,3,0,7,-113.607
1.02393,5,0,8,-126.885
1.02393,1,0,17,-110.239
1.02393,7,0,13,-89.1622
1.02393,5,0,12,-109.29
1.02393,1,0,19,-100.645
1.02393,7,0,14,-84.1815
1.02393,5,0,15,-113.45
1.02393,7,0,18,-85.1818
1.02393,1,0,20,-107.94
1.02393,5,0,2,-77.1528
1.02393,3,0,11,-111.475
1.02493,1,0,10,-111.474
1.02493,1,0,17,-110.315
1.02493,1,0,19,-100.608
1.02493,1,0,20,-107.959
1.02493,7,0,3,-120.306
1.02493,7,0,4,-81.5773
1.02493,5,0,1,-112.22
1.02493,3,0,5,-86.7875
1.02493,7,0,6,-113.638
1.02493,5,0,2,-77.111
1.02493,7,0,9,-116.81
1.02493,3,0,7,-113.666
1.02493,5,0,8,-126.912
1.02493,7,0,13,-89.1493
1.02493,5,0,12,-109.324
1.02493,7,0,14,-84.2266
1.02493,1,0,16,-110.976
1.02493,3,0,11,-111.441
1.02493,5,0,15,-113.409
1.02493,7,0,18,-85.143
1.02593,7,0,3,-120.314
